Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Cesnet200304,0001,0.22,0.579,0.3,0.6699999999999999,0.8999583333333333,0.8999583333333333
Cesnet200304,0002,0.282,0.636,0.362,0.727,0.9000735,0.9000693333333332
Cesnet200304,0003,0.421,0.766,0.501,0.857,0.9000376666666667,0.900009
Cesnet200304,0004,0.226,0.602,0.306,0.693,0.8999533333333334,0.8999533333333334
Cesnet200511,0000,0.47,2.479,0.588,5.275,0.9000919856537962,0.9001021
Cesnet200511,0001,0.562,2.766,0.68,5.561999999999999,0.9000925887395448,0.9001227
Cesnet200511,0002,0.583,2.506,0.701,5.302,0.9093748322667762,0.90002195
Cesnet200511,0003,0.497,2.709,0.615,5.505,0.9464390500434523,0.9001509
Cesnet200511,0004,0.828,2.567,0.946,5.3629999999999995,0.9268098150999403,0.9000794
Cesnet200603,0000,0.772,2.498,0.8270000000000001,2.5530000000000004,0.9139523,0.9001268138557744
Cesnet200603,0001,0.524,2.261,0.5790000000000001,2.3160000000000003,0.899922,0.899922
Cesnet200603,0002,0.571,2.131,0.626,2.186,0.9714921,0.90005815
Cesnet200603,0003,0.513,2.497,0.5680000000000001,2.552,0.900126,0.9000283
Cesnet200603,0004,0.784,3.796,0.8390000000000001,3.851,0.9704413999999999,0.900061
Cesnet200706,0000,0.494,2.823,0.5640000000000001,3.017,0.9000734729020422,0.9000471936360995
Cesnet200706,0001,0.588,3.49,0.6579999999999999,3.684,0.9000839409913804,0.9000022680860232
Cesnet200706,0002,0.431,2.459,0.501,2.653,0.9000299649057305,0.9000365074615668
Cesnet200706,0003,0.554,3.91,0.6240000000000001,4.104,0.9000695473685404,0.9000722734334722
Cesnet200706,0004,0.547,2.875,0.617,3.069,0.9000608239607586,0.9000676
Cesnet201006,0000,0.774,8.264,0.795,8.286,0.8999768254357505,0.8999961587714581
Cesnet201006,0001,1.027,8.193,1.0479999999999998,8.215,0.8999763166637582,0.8999950140344755
Cesnet201006,0002,0.912,8.378,0.933,8.4,0.9000334263198945,0.8999922157885177
Cesnet201006,0003,0.879,8.077,0.9,8.099,0.9000298649159483,0.9000550491295674
Cesnet201006,0004,1.262,11.871,1.283,11.893,0.8999901807005485,0.9000220637453996
Chinanet,0000,6.278,114.769,6.438,117.7,0.90002725,0.899991375
Chinanet,0001,14.604,205.989,14.764,208.92000000000002,1.00850825,1.0084753333333332
Chinanet,0002,14.603,220.164,14.763,223.095,0.899986625,0.9000025
Chinanet,0003,11.539,137.968,11.699,140.899,0.9000716666666666,0.9000480833333333
Chinanet,0004,10.681,778.693,10.841,781.624,0.954757875,0.9526525
Claranet,0000,0.222,0.484,0.256,0.523,0.900054,0.900073
Claranet,0001,0.115,0.329,0.14900000000000002,0.368,0.8999865,0.9000145
Claranet,0002,0.182,0.6,0.216,0.639,0.9000285,0.900069
Claranet,0003,0.137,0.451,0.171,0.49,0.9000345,0.9000555
Claranet,0004,0.123,0.289,0.157,0.32799999999999996,0.9000075,0.89999
Cogentco,0000,465.852,-,489.974,-,0.898534,-
Cogentco,0001,525.348,-,549.4699999999999,-,0.8986913090277779,-
Cogentco,0002,494.164,-,518.286,-,0.8987625034722222,-
Cogentco,0003,577.646,-,601.7679999999999,-,0.899141420138889,-
Cogentco,0004,572.104,-,596.226,-,0.8991164756944446,-
Colt,0000,103.861,1851.162,109.762,2060.847,0.8986698333333333,0.8988279999999998
Colt,0001,112.933,1869.957,118.834,2079.6420000000003,0.898636,2.218322500000001
Colt,0002,120.357,1872.615,126.258,2082.3,0.8988258333333331,2.3367110000000366
Colt,0003,100.313,1750.748,106.214,1960.433,0.8986901666666667,0.8987125
Colt,0004,106.017,1861.353,111.91799999999999,2071.038,0.8986265,0.8989055833333333
Columbus,0000,9.208,259.857,9.734,271.749,0.8997385,0.8997353333333333
Columbus,0001,8.297,167.964,8.823,179.856,0.899731,0.899731
Columbus,0002,8.99,197.22,9.516,209.112,0.8997325,0.8998035833333332
Columbus,0003,8.571,247.224,9.097,259.116,0.89974,0.8997705
Columbus,0004,9.556,169.311,10.081999999999999,181.203,0.8997398333333333,0.899726
Compuserve,0000,1.536,0.602,1.564,0.65,0.8998944444444444,0.8999555555555556
Compuserve,0001,0.841,1.967,0.869,2.015,0.8999333333333334,0.8998888888888888
Compuserve,0002,4.597,9.779,4.625,9.827,0.9000888888888889,0.9000666666666667
Compuserve,0003,0.254,1.144,0.28200000000000003,1.192,0.8999111111111111,0.8999555555555555
Compuserve,0004,1.101,1.045,1.129,1.093,0.8999111111111111,0.8999166666666667
CrlNetworkServices,0000,0.776,2.712,0.868,2.97,0.8991222222222223,0.8991333333333333
CrlNetworkServices,0001,0.708,3.202,0.7999999999999999,3.46,0.8986666666666666,0.8986888888888889
