Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_MIP,Time_MIP,Umax_MIP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
Basnet,1,0,0.059,0.8996129032,0,0.032319022,0.8996129032,0,0.033,0.8996129032,0,0.184742376,0.8996129032
Basnet,2,0,0.051,0.8996129032,0,0.032268061,0.8996129032,0,0.033,0.8996129032,0,0.16713722,0.8996129032
Basnet,3,0,0.07,0.8996129032,0,0.031917276,0.8996129032,0,0.034,0.8996129032,0,0.172576033,0.8996129032
Basnet,4,0,0.057,0.8997419355,0,0.032454697,0.8997419355,0,0.034,0.8997419355,0,0.166897081,0.8997419355
Bbnplanet,0,0,0.235,0.8990666667,0,0.402738012,0.8991333333,0,0.356,0.8990777778,0,1.930478133,0.8990666667
Bbnplanet,1,0,0.303,0.8992,0,0.535247013,0.8991222222,0,0.307,0.8991333333,0,2.00034159,0.8991444444
Bbnplanet,2,0,0.3,0.899,0,0.505288747,0.8990777778,0,0.304,0.8989888889,0,2.022420941,0.8990111111
Bbnplanet,3,0,0.274,0.8989555556,0,0.46493544,0.8990111111,0,0.297,0.8989666667,0,1.996040345,0.899
Bbnplanet,4,0,0.199,0.8989888889,0,0.64719721,0.8990333333,0,0.315,0.899,0,2.243835207,0.8990555556
Bellcanada,0,0,2.298,0.899894,0,15.255099469,0.899957,0,2.977,0.899876,0,44.955776153,0.8999580833
Bellcanada,1,0,2.26,0.8998815,0,11.690210176,0.899886,0,3.298,0.899925,0,42.837338903,0.8999485
Bellcanada,2,0,2.277,0.8998775,0,28.28030884,0.8998835,0,3.499,0.8998775,0,47.436752135,0.8999315
Bellcanada,3,0,2.23,0.8998745,0,19.335594586,0.89991,0,3.166,0.8998745,0,47.210976014,0.899884
Bellcanada,4,0,2.339,0.899933,0,7.058961035,0.8999565,0,3.419,0.8998955,0,40.767901049,0.899878
Bellsouth,0,0,1.421,0.899881,0,2.743301258,0.899881,0,2.278,0.899881,0,48.349561471,0.899881
Bellsouth,1,0,1.363,0.899906,0,2.743303152,0.899906,0,2.338,0.899906,0,50.270842926,0.899906
Bellsouth,2,0,1.393,0.899886,0,1.874125698,0.899886,0,2.233,0.899886,0,49.338630556,0.899886
Bellsouth,3,0,1.399,0.899881,0,2.226965293,0.899881,0,2.22,0.899881,0,43.242134073,0.899881
Bellsouth,4,0,1.416,0.8998925,0,2.802062858,0.8999275,0,2.37,0.8999315,0,49.495243434,0.899931
Belnet2003,0,0,0.403,2.0544396667,0,8.870478187,2.0544396667,0,0.339,2.0544396667,0,2.105255888,2.4653276
Belnet2003,1,0,0.338,2.71246,0,1.068759449,4.797262,0,0.363,2.71246,0,1.85073805,3.254952
Belnet2003,2,0,0.449,2.517917,0,13.792015162,2.517917,0,0.356,2.517917,0,2.168881409,3.0215004
Belnet2003,3,0,0.283,0.89999,0,0.387775148,0.89999,0,0.275,0.89999,0,1.977542861,0.89999
Belnet2003,4,0,0.672,2.41846,0,21.047106977,2.41846,0,0.379,2.41846,0,1.78251242,2.902152
Belnet2004,0,0,0.519,2.644662,0,3.209571859,2.644662,0,0.387,2.644662,0,1.949828184,3.1735944
Belnet2004,1,0,0.75,1.1139668,0,2.190257408,1.1139294,0,0.598,1.1139236,0,2.30735231,1.2184356
