Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Garr200912,0003,0.021,1.997,2.018,0.8999261538461538
Garr200912,0004,0.037,2.422,2.459,0.9566813203834338
Garr201001,0000,0.021,1.965,1.986,0.9729164
Garr201001,0001,0.036,1.874,1.91,1.091937
Garr201001,0002,0.018,1.859,1.877,0.905651
Garr201001,0003,0.019,3.047,3.066,0.9205898
Garr201001,0004,0.021,1.867,1.888,1.007009
Garr201003,0000,0.019,3.166,3.185,0.9108371999999999
Garr201003,0001,0.021,1.985,2.006,1.019401
Garr201003,0002,0.018,2.771,2.789,0.8999184615384612
Garr201003,0003,0.033,2.531,2.564,0.919602
Garr201003,0004,0.026,2.237,2.263,0.8999169230769231
Garr201004,0000,0.019,3.622,3.641,0.965188
Garr201004,0001,0.019,2.74,2.759,0.9931836
Garr201004,0002,0.019,2.213,2.232,1.2046139999999999
Garr201004,0003,0.025,1.911,1.936,0.8999230769230769
Garr201004,0004,0.019,2.509,2.528,0.996268
Garr201005,0000,0.02,2.676,2.696,0.9000528
Garr201005,0001,0.02,2.638,2.658,0.9797247999999998
Garr201005,0002,0.022,2.102,2.124,1.0544084
Garr201005,0003,0.019,2.58,2.599,0.9000992
Garr201005,0004,0.02,3.275,3.295,0.9243414
Garr201007,0000,0.022,1.968,1.99,0.8999246153846154
Garr201007,0001,0.019,2.053,2.072,1.119515
Garr201007,0002,0.02,2.205,2.225,0.9101977
