Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
DialtelecomCz,0002,1,4.027,1875.137,1879.164,0.8992975
DialtelecomCz,0003,0,3.768,1433.095,1436.863,0.899253
DialtelecomCz,0004,1,3.884,1871.609,1875.493,0.8992836666666666
Digex,0000,0,0.322,2.742,3.064,0.8988888888888888
Digex,0001,0,0.294,2.556,2.85,0.8988777777777778
Digex,0002,0,0.182,2.579,2.761,0.8988666666666667
Digex,0003,0,0.237,2.757,2.994,0.8987777777777778
Digex,0004,0,0.231,4.385,4.616,0.8988055555555553
Easynet,0000,0,0.103,0.557,0.66,0.900026
Easynet,0001,0,0.094,0.42,0.514,0.900035
Easynet,0002,0,0.123,0.503,0.626,0.899978
Easynet,0003,0,0.107,0.614,0.721,0.900017
Easynet,0004,0,0.089,0.568,0.657,0.9000459999999999
Eenet,0000,0,0.028,0.028,0.056,0.9539915
Eenet,0001,0,0.015,0.026,0.041,0.9539885
Eenet,0002,0,0.027,0.053,0.08,0.953989
Eenet,0003,0,0.015,0.045,0.06,0.95399
Eenet,0004,0,0.015,0.029,0.044,0.953991
EliBackbone,0000,0,0.167,2.991,3.158,0.900005
EliBackbone,0001,0,0.207,2.737,2.944,0.9000253333333332
EliBackbone,0002,0,0.181,7.602,7.783,0.9000474166666667
EliBackbone,0003,0,0.176,6.302,6.478,0.90003225
EliBackbone,0004,0,0.164,2.422,2.586,0.9000455833333333
Epoch,0000,0,0.041,0.09,0.131,0.9926666666666666
Epoch,0001,0,0.029,0.158,0.187,0.8999944444444444
Epoch,0002,0,0.023,2.586,2.609,0.9000888888888889
Epoch,0003,0,0.029,0.118,0.147,0.9000111111111104
Epoch,0004,0,0.025,1.443,1.468,0.9001888888888889
Ernet,0000,0,0.109,0.34,0.449,0.899951
Ernet,0001,0,0.093,0.623,0.716,0.8999459999999999
Ernet,0002,0,0.125,0.39,0.515,0.899949
Ernet,0003,0,0.093,0.402,0.495,0.899947
Ernet,0004,0,0.094,0.328,0.422,0.899949
Esnet,0000,0,0.657,34.354,35.011,0.9002052
Esnet,0001,0,0.452,22.59,23.042,0.9001022495130494
Esnet,0002,0,0.428,25.036,25.464,0.9001399
Esnet,0003,0,0.417,21.178,21.595,0.9002041
Esnet,0004,0,0.428,29.051,29.479,0.9001355762483625
Eunetworks,0000,0,0.092,0.189,0.281,0.9000145
Eunetworks,0001,0,0.062,0.203,0.265,0.9000495000000001
Eunetworks,0002,0,0.063,0.157,0.22,0.900051
Eunetworks,0003,0,0.06,0.189,0.249,0.900036
Eunetworks,0004,0,0.049,0.174,0.223,0.9000536666666664
Evolink,0000,0,0.195,2.151,2.346,0.899923
Evolink,0001,0,0.193,2.231,2.424,0.899964
Evolink,0002,0,0.253,2.85,3.103,0.8999265
Evolink,0003,0,0.19,2.426,2.616,0.899989
Evolink,0004,0,0.19,2.634,2.824,0.8999245
Fatman,0000,0,0.09,0.167,0.257,0.899978
Fatman,0001,0,0.066,0.144,0.21,0.899977
Fatman,0002,0,0.066,0.167,0.233,0.899971
Fatman,0003,0,0.064,0.146,0.21,0.899973
Fatman,0004,0,0.062,0.156,0.218,0.899973
Fccn,0000,0,0.054,0.118,0.172,0.900048
Fccn,0001,0,0.052,0.091,0.143,0.899969
Fccn,0002,0,0.054,0.185,0.239,0.9000049999999999
Fccn,0003,0,0.054,0.098,0.152,0.90003
Fccn,0004,0,0.054,0.128,0.182,0.9000239999999999
Forthnet,0000,0,0.082,0.088,0.17,0.8999888888888888
Forthnet,0001,0,0.084,0.119,0.203,0.8999883888888889
Forthnet,0002,0,0.083,0.136,0.219,0.8999891111111111
Forthnet,0003,0,0.082,0.104,0.186,0.8999876111111111
Forthnet,0004,0,0.085,0.12,0.205,0.8999896111111111
Funet,0000,0,0.134,1.232,1.366,0.9000435
Funet,0001,0,0.122,1.158,1.28,0.899979
Funet,0002,0,0.131,1.233,1.364,0.8999575
Funet,0003,0,0.12,1.185,1.305,0.900012
Funet,0004,0,0.119,1.084,1.203,0.8999639999999999
Gambia,0000,0,0.114,0.101,0.215,0.89968
Gambia,0001,0,0.053,0.091,0.144,0.89965
Gambia,0002,0,0.063,0.07,0.133,0.89968
Gambia,0003,0,0.048,0.098,0.146,0.899655
Gambia,0004,0,0.047,0.091,0.138,0.89966
Garr199901,0000,0,0.044,0.195,0.239,0.900029
Garr199901,0001,0,0.038,0.973,1.011,0.900078
Garr199901,0002,0,0.049,0.284,0.333,0.9000630000000001
Garr199901,0003,0,0.036,0.252,0.288,0.900046
Garr199901,0004,0,0.036,0.31,0.346,0.900043
Garr199904,0000,0,0.05,0.138,0.188,0.8999677419354838
Garr199904,0001,0,0.06,0.327,0.387,0.8999870967741935
Garr199904,0002,0,0.062,0.23,0.292,0.8999225806451613
Garr199904,0003,0,0.051,0.274,0.325,0.8999870967741912
Garr199904,0004,0,0.066,0.152,0.218,0.8999096774193548
Garr199905,0000,0,0.061,1.251,1.312,0.8999548387096773
Garr199905,0001,0,0.052,0.129,0.181,0.8999225806451613
Garr199905,0002,0,0.052,0.176,0.228,0.8999548387096774
Garr199905,0003,0,0.048,0.598,0.646,0.8999806451612903
Garr199905,0004,0,0.049,0.22,0.269,0.8999806451612903
Garr200109,0000,0,0.052,0.322,0.374,0.8999548387096774
Garr200109,0001,0,0.046,0.119,0.165,0.8999419354838709
Garr200109,0002,0,0.049,0.214,0.263,0.9
Garr200109,0003,0,0.046,0.112,0.158,0.8999290322580644
