Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
BtNorthAmerica,0000,0,0.177,38.225,38.402,0.9000503194444444
BtNorthAmerica,0001,0,0.177,47.495,47.672,0.9000544166666666
BtNorthAmerica,0002,0,0.177,41.694,41.871,0.9000769999999999
BtNorthAmerica,0003,0,0.177,584.572,584.749,0.9000657083333332
BtNorthAmerica,0004,0,0.177,44.576,44.753,0.9000305
Canerie,0000,0,0.074,0.632,0.706,0.899991
Canerie,0001,0,0.074,0.417,0.491,0.8999429999999999
Canerie,0002,0,0.074,0.692,0.7659999999999999,0.899992
Canerie,0003,0,0.074,0.457,0.531,0.899979
Canerie,0004,0,0.074,0.666,0.74,0.899976
Carnet,0000,0,0.071,0.13,0.201,0.899842
Carnet,0001,0,0.071,0.136,0.20700000000000002,0.899832
Carnet,0002,0,0.071,0.129,0.2,0.899832
Carnet,0003,0,0.071,0.115,0.186,0.899839
Carnet,0004,0,0.071,0.138,0.20900000000000002,0.899834
Cernet,0000,0,0.094,0.349,0.44299999999999995,0.9565899654704821
Cernet,0001,0,0.094,0.407,0.501,1.0418419936719183
Cernet,0002,0,0.094,0.341,0.43500000000000005,1.0376645161290323
Cernet,0003,0,0.094,0.277,0.371,0.9492432
Cernet,0004,0,0.094,0.278,0.372,0.9283629001067106
Cesnet1993,0000,0,0.022,0.054,0.076,0.8981666666666667
Cesnet1993,0001,0,0.022,0.042,0.064,0.8975
Cesnet1993,0002,0,0.022,0.073,0.095,0.8975
Cesnet1993,0003,0,0.022,0.036,0.057999999999999996,0.8975
Cesnet1993,0004,0,0.022,0.051,0.073,0.8985
Cesnet1997,0000,0,0.025,0.061,0.086,0.8994705882352941
Cesnet1997,0001,0,0.025,0.05,0.07500000000000001,0.8995
Cesnet1997,0002,0,0.025,0.085,0.11000000000000001,0.8994705882352941
Cesnet1997,0003,0,0.025,0.042,0.067,0.8993529411764706
Cesnet1997,0004,0,0.025,0.052,0.077,0.8993823529411765
Cesnet1999,0000,0,0.02,0.065,0.085,0.8998774193548387
Cesnet1999,0001,0,0.02,0.041,0.061,0.8998529411764706
Cesnet1999,0002,0,0.02,0.064,0.084,0.89925
Cesnet1999,0003,0,0.02,0.042,0.062,0.8992258064516129
Cesnet1999,0004,0,0.02,0.042,0.062,0.8998529411764706
Cesnet2001,0000,0,0.035,0.093,0.128,1.0581070126807588
Cesnet2001,0001,0,0.035,0.094,0.129,1.0581070126807588
Cesnet2001,0002,0,0.035,0.096,0.131,1.0581092801387684
Cesnet2001,0003,0,0.035,0.062,0.097,1.0581002103067303
Cesnet2001,0004,0,0.035,0.063,0.098,1.0581070126807588
Cesnet200304,0000,0,0.05,0.24,0.29,0.9000075999999999
Cesnet200304,0001,0,0.05,0.229,0.279,0.8999583333333332
Cesnet200304,0002,0,0.05,0.293,0.34299999999999997,0.900031
Cesnet200304,0003,0,0.05,0.153,0.203,0.9000132
Cesnet200304,0004,0,0.05,0.251,0.301,0.8999533333333334
Cesnet200511,0000,0,0.087,0.357,0.44399999999999995,0.900031
Cesnet200511,0001,0,0.087,0.381,0.46799999999999997,0.9000499
Cesnet200511,0002,0,0.087,0.485,0.572,0.9000758
Cesnet200511,0003,0,0.087,0.502,0.589,0.9001692
Cesnet200511,0004,0,0.087,0.347,0.43399999999999994,0.900049
Cesnet200603,0000,0,0.088,0.4,0.488,0.9004058164001932
Cesnet200603,0001,0,0.088,0.367,0.45499999999999996,0.899922
Cesnet200603,0002,0,0.088,0.465,0.553,0.9000959999999999
Cesnet200603,0003,0,0.088,0.379,0.46699999999999997,0.9000864
Cesnet200603,0004,0,0.088,0.5,0.588,0.9000038
Cesnet200706,0000,0,0.108,0.566,0.6739999999999999,0.9000332361836486
Cesnet200706,0001,0,0.108,0.423,0.531,0.9000674755591922
Cesnet200706,0002,0,0.108,0.387,0.495,0.9001
Cesnet200706,0003,0,0.108,0.505,0.613,0.9001415154827404
Cesnet200706,0004,0,0.108,0.463,0.5710000000000001,0.9000548266179086
Cesnet201006,0000,0,0.17,0.908,1.078,0.8999890359635658
Cesnet201006,0001,0,0.17,1.037,1.2069999999999999,0.8999705929788447
Cesnet201006,0002,0,0.17,1.081,1.251,0.8999982574559263
Cesnet201006,0003,0,0.17,1.415,1.585,0.9000254131610157
Cesnet201006,0004,0,0.17,1.046,1.216,0.9000134146215303
Chinanet,0000,0,0.16,6.278,6.438,0.90002725
Chinanet,0001,0,0.16,14.604,14.764,1.00850825
Chinanet,0002,0,0.16,14.603,14.763,0.899986625
Chinanet,0003,0,0.16,11.539,11.699,0.9000716666666666
Chinanet,0004,0,0.16,10.681,10.841,0.954757875
Claranet,0000,0,0.034,0.222,0.256,0.900054
Claranet,0001,0,0.034,0.115,0.14900000000000002,0.8999865
Claranet,0002,0,0.034,0.182,0.216,0.9000285
Claranet,0003,0,0.034,0.137,0.171,0.9000345
Claranet,0004,0,0.034,0.123,0.157,0.9000075
Cogentco,0000,0,24.122,465.852,489.974,0.898534
Cogentco,0001,0,24.122,525.348,549.4699999999999,0.8986913090277779
Cogentco,0002,0,24.122,494.164,518.286,0.8987625034722222
Cogentco,0003,0,24.122,577.646,601.7679999999999,0.899141420138889
Cogentco,0004,0,24.122,572.104,596.226,0.8991164756944446
Colt,0000,0,5.901,103.861,109.762,0.8986698333333333
Colt,0001,0,5.901,112.933,118.834,0.898636
Colt,0002,0,5.901,120.357,126.258,0.8988258333333331
Colt,0003,0,5.901,100.313,106.214,0.8986901666666667
Colt,0004,0,5.901,106.017,111.91799999999999,0.8986265
Columbus,0000,0,0.526,9.208,9.734,0.8997385
Columbus,0001,0,0.526,8.297,8.823,0.899731
Columbus,0002,0,0.526,8.99,9.516,0.8997325
Columbus,0003,0,0.526,8.571,9.097,0.89974
Columbus,0004,0,0.526,9.556,10.081999999999999,0.8997398333333333
Compuserve,0000,0,0.028,1.536,1.564,0.8998944444444444
Compuserve,0001,0,0.028,0.841,0.869,0.8999333333333334
Compuserve,0002,0,0.028,4.597,4.625,0.9000888888888889
Compuserve,0003,0,0.028,0.254,0.28200000000000003,0.8999111111111111
Compuserve,0004,0,0.028,1.101,1.129,0.8999111111111111
CrlNetworkServices,0000,0,0.092,0.776,0.868,0.8991222222222223
CrlNetworkServices,0001,0,0.092,0.708,0.7999999999999999,0.8986666666666666
CrlNetworkServices,0002,0,0.092,0.778,0.87,0.8986555555555555
CrlNetworkServices,0003,0,0.092,0.769,0.861,0.8986111111111111
CrlNetworkServices,0004,0,0.092,0.778,0.87,0.8986888888888886
Cudi,0000,0,0.116,0.155,0.271,0.8998870833333333
Cudi,0001,0,0.116,0.169,0.28500000000000003,0.8999529166666667
Cudi,0002,0,0.116,0.163,0.279,0.8998883333333333
Cudi,0003,0,0.116,0.166,0.28200000000000003,0.8998845833333333
Cudi,0004,0,0.116,0.16,0.276,0.8998883333333334
Cwix,0000,0,0.082,0.683,0.765,0.8988222222222223
Cwix,0001,0,0.082,1.181,1.2630000000000001,0.8989222222222222
Cwix,0002,0,0.082,0.623,0.705,0.898937037037037
Cwix,0003,0,0.082,0.639,0.721,0.8988444444444444
Cwix,0004,0,0.082,0.897,0.979,0.898959259259259
Cynet,0000,0,0.054,0.074,0.128,0.8994971804511278
Cynet,0001,0,0.054,0.077,0.131,0.8994501879699248
Cynet,0002,0,0.054,0.102,0.156,0.8994736842105263
Cynet,0003,0,0.054,0.076,0.13,0.8995112781954887
Cynet,0004,0,0.054,0.087,0.141,0.8994736842105263
Darkstrand,0000,0,0.064,0.297,0.361,0.899969
Darkstrand,0001,0,0.064,0.519,0.583,0.89998
Darkstrand,0002,0,0.064,0.442,0.506,0.899992
Darkstrand,0003,0,0.064,0.308,0.372,0.9000035
Darkstrand,0004,0,0.064,0.424,0.488,0.9000195
Dataxchange,0000,0,0.017,0.045,0.062,1.0392666666666666
Dataxchange,0001,0,0.017,0.048,0.065,1.0802222222222222
Dataxchange,0002,0,0.017,0.046,0.063,1.2024
Dataxchange,0003,0,0.017,0.066,0.083,0.8999333333333334
Dataxchange,0004,0,0.017,0.061,0.078,1.432511111111111
Deltacom,0000,0,3.971,102.809,106.78,0.8996467222222222
Deltacom,0001,0,3.971,134.657,138.62800000000001,0.8997136250000002
Deltacom,0002,0,3.971,88.329,92.3,0.89961
Deltacom,0003,0,3.971,101.515,105.486,0.8996295
Deltacom,0004,0,3.971,105.33,109.301,0.8996682499999998
DeutscheTelekom,0000,0,0.083,1.408,1.4909999999999999,0.9000659999999999
DeutscheTelekom,0001,0,0.083,0.658,0.741,0.899957
DeutscheTelekom,0002,0,0.083,0.654,0.737,0.899957
DeutscheTelekom,0003,0,0.083,0.623,0.706,0.899961
DeutscheTelekom,0004,0,0.083,0.587,0.6699999999999999,0.89996
Dfn,0000,0,0.422,5.095,5.5169999999999995,0.900028875
Dfn,0001,0,0.422,29.779,30.201,0.9002615
