Topology,DemandFile,ExitCode,TotalTime,pre-uMax,post-uMax
Cesnet200603,0002,0,10.522717143,1.7879725402996973,0.8999896872337
Cesnet200603,0003,0,9.313791787,1.551990514667347,1.0482762
Cesnet200603,0004,0,9.74295489,2.2697813633235815,0.9264470590221929
Cesnet200706,0000,0,28.056438746,2.0310029912565284,0.96381
Cesnet200706,0001,0,23.13345313,2.3009951881682675,0.9750747159876512
Cesnet200706,0002,0,23.744229338,2.1404624583784404,0.9000488
Cesnet200706,0003,0,27.957862006,2.2026920872585034,0.9000068478751088
Cesnet200706,0004,0,24.867455356,2.0275641148663444,0.9000540633197277
Cesnet201006,0000,0,55.435357524,2.1718849290034123,0.9000157464931619
Cesnet201006,0001,0,55.054307945,2.2618712404929595,0.8999930425430053
Cesnet201006,0002,0,64.054491612,2.0829707272946507,0.8999608627144919
Cesnet201006,0003,0,59.538778645,2.1447186668952747,0.8999896719285562
Cesnet201006,0004,0,60.888387259,2.2037613174209807,0.9000263883073343
Chinanet,0000,0,32.464129636,1.67141275,1.111315375
Chinanet,0001,0,34.678251874,2.072374925,1.386723125
Chinanet,0002,0,44.44924599,2.58470875,0.9764776666666666
Chinanet,0003,0,30.070546451,2.10755575,0.9812321666666667
Chinanet,0004,0,33.356159502,2.7912255,1.30966325
Claranet,0000,0,0.905862049,1.211927,0.9000225
Claranet,0001,0,0.731537064,1.3116705,0.9000715
Claranet,0002,0,1.057850976,1.528764,0.8999935
Claranet,0003,0,0.858440515,1.1580415,0.900163
Claranet,0004,0,0.507546534,1.3471415,0.9000105
Cogentco,0000,1,-,-,-
Cogentco,0001,1,-,-,-
Cogentco,0002,1,-,-,-
Cogentco,0003,1,-,-,-
Cogentco,0004,1,-,-,-
Colt,0000,1,-,-,-
Colt,0001,1,-,-,-
Colt,0002,1,-,-,-
Colt,0003,1,-,-,-
Colt,0004,1,-,-,-
Columbus,0000,0,221.730140258,1.1790323333333332,0.8997480833333332
Columbus,0001,0,213.301755233,1.1835524166666667,0.8998136666666667
Columbus,0002,0,229.345969255,1.1888399166666666,0.8998105
Columbus,0003,0,214.167620444,1.1618105,0.8998145
Columbus,0004,0,219.839597709,1.13419525,0.8997694166666665
Compuserve,0000,0,1.408828213,1.8472666666666666,0.8999944444444444
Compuserve,0001,0,1.068889781,1.4976055555555556,0.8999111111111111
Compuserve,0002,0,0.850779654,1.4103222222222223,0.9006555555555555
Compuserve,0003,0,1.417917814,1.5543555555555555,0.8998888888888888
Compuserve,0004,0,1.608642983,1.6254166666666667,0.8999333333333334
CrlNetworkServices,0000,0,5.83897136,1.6589222222222222,0.8991333333333333
CrlNetworkServices,0001,0,6.12121554,1.5505333333333333,0.8987111111111111
CrlNetworkServices,0002,0,6.160668264,1.316,0.8986888888888889
CrlNetworkServices,0003,0,5.676935971,1.2762,0.8986777777777778
CrlNetworkServices,0004,0,5.644019561,1.5500333333333334,0.8986888888888889
Cudi,0000,0,31.327850903,0.8998870833333333,0.8998870833333333
Cudi,0001,0,31.778951771,0.8999529166666667,0.8999529166666667
Cudi,0002,0,33.001581428,0.8998883333333333,0.8998883333333333
Cudi,0003,0,32.165739506,0.8998845833333333,0.8998845833333333
Cudi,0004,0,31.433504191,0.8998883333333333,0.8998883333333333
Cwix,0000,0,7.535326927,1.2188037037037038,0.8988074074074073
Cwix,0001,0,9.380795425,1.475014814814815,0.8989111111111111
Cwix,0002,0,6.998616178,1.1296314814814814,0.8989111111111111
Cwix,0003,0,8.064397639,1.2342,0.8988740740740739
Cwix,0004,0,7.700673314,1.1962481481481482,0.8988888888888888
Cynet,0000,0,2.586454188,0.8994971804511278,0.8994971804511278
Cynet,0001,0,2.788954421,0.8994501879699248,0.8994501879699248
Cynet,0002,0,2.534851746,0.8994736842105263,0.8994736842105263
Cynet,0003,0,2.584208374,0.8995112781954887,0.8995112781954887
Cynet,0004,0,2.759746884,0.8994736842105263,0.8994736842105263
Darkstrand,0000,0,2.590048631,1.1062745,0.900022
Darkstrand,0001,0,2.640651001,1.1641845,0.899971
Darkstrand,0002,0,2.607396499,1.040536,0.900019
Darkstrand,0003,0,2.582350974,1.027188,0.900031
Darkstrand,0004,0,2.752801615,1.05033225,0.89995275
Dataxchange,0000,0,0.170775387,1.0392666666666666,1.0392666666666666
Dataxchange,0001,0,0.193850155,1.2840666666666667,1.0802222222222222
Dataxchange,0002,0,0.168440328,1.2485555555555556,1.2024
Dataxchange,0003,0,0.170250897,0.98,0.98
Dataxchange,0004,0,0.197582926,1.432511111111111,1.432511111111111
Deltacom,0000,1,-,-,-
Deltacom,0001,1,-,-,-
Deltacom,0002,1,-,-,-
Deltacom,0003,1,-,-,-
Deltacom,0004,1,-,-,-
DeutscheTelekom,0000,0,6.700640022,1.2944341666666666,0.9000851666666667
DeutscheTelekom,0001,0,5.138407717,1.164138,0.899957
DeutscheTelekom,0002,0,4.588910496,0.899957,0.899957
DeutscheTelekom,0003,0,4.942218601,1.5048447291666667,0.899961
DeutscheTelekom,0004,0,4.613235237,1.122506,0.89996
Dfn,0000,0,121.850157744,1.62296325,0.900038
Dfn,0001,0,173.251923641,2.8167695,0.901022
Dfn,0002,0,185.625741654,2.31072875,0.901888
Dfn,0003,0,240.619398181,2.304885,0.90019675
Dfn,0004,0,213.305405174,2.408236875,0.9003705
DialtelecomCz,0000,1,-,-,-
DialtelecomCz,0001,1,-,-,-
DialtelecomCz,0002,1,-,-,-
DialtelecomCz,0003,1,-,-,-
DialtelecomCz,0004,1,-,-,-
Digex,0000,0,4.665134584,0.9579333333333333,0.8989111111111111
Digex,0001,0,4.554323661,0.9968888888888889,0.8988444444444444
Digex,0002,0,4.022727832,0.9690666666666666,0.8989222222222222
Digex,0003,0,4.304068913,0.9739259259259259,0.8987888888888889
Digex,0004,0,4.325993377,1.0659685185185184,0.8988092592592593
Easynet,0000,0,1.078952856,1.34183,0.90005
Easynet,0001,0,1.011580022,1.3828288333333332,0.9000465
Easynet,0002,0,0.961057598,1.217687,0.9000485
Easynet,0003,0,1.087103176,1.238191,0.900007
Easynet,0004,0,1.072757262,1.628575,0.900007
Eenet,0000,0,0.346869958,0.9539915,0.9539915
Eenet,0001,0,0.379127387,0.9539885,0.9539885
Eenet,0002,0,0.335261684,0.953989,0.953989
Eenet,0003,0,0.373190056,0.95399,0.95399
Eenet,0004,0,0.339708943,0.953991,0.953991
EliBackbone,0000,0,2.016004126,1.7986420833333334,0.9000350833333334
EliBackbone,0001,0,1.115546744,1.4737325416666665,0.9000687083333333
EliBackbone,0002,0,1.402244535,1.41634225,0.90008425
EliBackbone,0003,0,2.16646561,1.5861733333333334,0.900061
EliBackbone,0004,0,1.842780118,1.4460605833333333,0.900032
Epoch,0000,0,0.19837955,1.2871777777777778,0.9926666666666667
Epoch,0001,0,0.167387102,0.9052777777777777,0.9052777777777777
Epoch,0002,0,0.181385783,1.1331222222222221,0.9195444444444445
Epoch,0003,0,0.189796361,1.369488888888889,0.9015555555555556
Epoch,0004,0,0.166161423,0.9845222222222222,0.9473111111111111
Ernet,0000,0,3.296312011,1.0134315,0.899951
Ernet,0001,0,4.353605125,1.408024,0.899971
Ernet,0002,0,4.322690585,1.089705,0.899949
Ernet,0003,0,3.257253063,1.1161025,0.899947
Ernet,0004,0,3.883534051,1.2797685,0.940807
Esnet,0000,0,261.972958452,1.6685343,0.9666695
Esnet,0001,0,246.766685807,1.4357969058056954,0.9589004
Esnet,0002,0,264.251804466,1.4256552,0.9186448
Esnet,0003,0,254.278017647,1.4453048,0.9603417592349908
Esnet,0004,0,242.15519117,1.4655845913334329,0.9339388
Eunetworks,0000,0,0.58130388,1.278655,0.89999
Eunetworks,0001,0,0.483019469,1.2534535,0.900074
Eunetworks,0002,0,0.552669279,1.2335793333333336,0.9000353333333333
Eunetworks,0003,0,0.419575961,0.919964,0.900061
Eunetworks,0004,0,0.440503407,0.9296173333333334,0.9000533333333333
Evolink,0000,0,7.991498218,1.152552,0.9000125
Evolink,0001,0,9.286980775,1.2844975,0.899955
Evolink,0002,0,9.61469018,1.188336,0.89998725
Evolink,0003,0,8.212228057,1.09149875,0.89998275
Evolink,0004,0,8.589084099,1.36948475,0.8999435
Fatman,0000,0,0.626522325,0.899978,0.899978
Fatman,0001,0,0.616646588,0.899977,0.899977
Fatman,0002,0,0.571492954,0.899971,0.899971
Fatman,0003,0,0.67086973,0.899973,0.899973
Fatman,0004,0,0.692266068,0.899973,0.899973
Fccn,0000,0,1.467907885,1.528796,0.900019
Fccn,0001,0,1.288635412,1.134371,0.899969
Fccn,0002,0,1.209005972,1.617752,0.900057
Fccn,0003,0,1.753404163,1.685166,0.900035
Fccn,0004,0,1.349180969,1.728403,0.900043
Forthnet,0000,0,79.275273506,0.8999888888888888,0.8999888888888888
Forthnet,0001,0,89.479038794,1.1628976666666666,0.8999883888888889
Forthnet,0002,0,75.347370889,1.3580978888888888,0.8999891111111111
Forthnet,0003,0,90.525994444,1.3455797777777778,0.8999876111111111
Forthnet,0004,0,93.194369986,1.5063600555555556,0.8999896111111111
Funet,0000,0,2.296490183,1.076614,0.8999725
Funet,0001,0,2.263704008,1.2143715,0.8999715
Funet,0002,0,2.054153507,1.2347105,0.9000385
Funet,0003,0,2.104372191,1.214491,0.900023
Funet,0004,0,2.164134458,1.1610345,0.9000075
Gambia,0000,0,1.827884472,0.89968,0.89968
Gambia,0001,0,2.43579433,0.89965,0.89965
Gambia,0002,0,2.252258395,0.89968,0.89968
Gambia,0003,0,1.833736365,0.899655,0.899655
Gambia,0004,0,2.40840374,0.89966,0.89966
Garr199901,0000,0,0.59088309,1.098765,0.900064
Garr199901,0001,0,0.848248348,1.038377,0.900062
Garr199901,0002,0,0.751833267,1.199841,0.900067
Garr199901,0003,0,0.67482718,1.273288,0.900078
Garr199901,0004,0,0.579547025,1.191545,0.900052
Garr199904,0000,0,1.816125083,1.105567741935484,0.8999225806451613
Garr199904,0001,0,1.372549245,1.0774903225806451,0.8999419354838709
Garr199904,0002,0,1.556201978,1.1078064516129031,0.8999290322580645
Garr199904,0003,0,1.719204824,1.0251935483870969,0.8999935483870968
Garr199904,0004,0,1.30442457,1.4260709677419354,0.8999677419354839
Garr199905,0000,0,1.928782713,1.0625806451612902,0.8999483870967742
Garr199905,0001,0,1.651605468,0.9556258064516129,0.900341935483871
Garr199905,0002,0,1.634297547,1.042516129032258,0.8999741935483871
Garr199905,0003,0,2.615002896,1.2415935483870968,0.8999612903225807
Garr199905,0004,0,1.428488694,1.1750645161290323,0.8999806451612903
Garr200109,0000,0,1.613785163,1.0787806451612902,0.8999096774193548
Garr200109,0001,0,1.293331285,1.297109677419355,0.8999419354838709
Garr200109,0002,0,1.228011729,1.143316129032258,0.8999806451612903
Garr200109,0003,0,1.362488553,1.1694774193548387,0.8999548387096774
Garr200109,0004,0,1.102770511,1.1910387096774193,0.8999612903225807
Garr200112,0000,0,1.718375861,1.0653741935483871,0.8998774193548387
Garr200112,0001,0,1.872743361,1.0615419354838709,0.8999096774193548
Garr200112,0002,0,1.826055393,1.163374193548387,0.8999612903225807
Garr200112,0003,0,1.589593041,1.2540709677419355,0.8999096774193548
Garr200112,0004,0,1.67703292,1.1371290322580645,0.8999032258064517
Garr200212,0000,0,2.096921713,1.0122709677419355,0.8998387096774193
Garr200212,0001,0,2.523309467,1.281658064516129,0.8998709677419355
Garr200212,0002,0,2.066022884,1.5566064516129032,1.1318548387096774
Garr200212,0003,0,2.363739469,1.0883225806451613,0.8998258064516129
Garr200212,0004,0,2.156673097,1.359447311827957,1.0511376344086023
Garr200404,0000,0,1.522496778,1.0720193548387096,0.8999677419354839
Garr200404,0001,0,1.200553064,1.0196387096774193,0.8999419354838709
