Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Bics,0004,0.022,0.729,0.751,0.899977
Biznet,0000,0.004,0.621,0.625,0.90001
Biznet,0001,0.017,0.507,0.524,0.900021
Biznet,0002,0.008,0.584,0.592,0.899962
Biznet,0003,0.007,0.69,0.697,0.900013
Biznet,0004,0.006,0.595,0.601,0.899958
Bren,0000,0.028,0.703,0.731,0.8999143258426966
Bren,0001,0.008,0.715,0.723,0.8999087078651685
Bren,0002,0.028,0.713,0.741,0.899941011235955
Bren,0003,0.028,0.693,0.721,0.8999269662921349
Bren,0004,0.029,0.885,0.914,0.899993
BsonetEurope,0000,0.016,0.257,0.273,0.978413
BsonetEurope,0001,0.015,0.222,0.237,1.091085
BsonetEurope,0002,0.015,0.207,0.222,0.915299
BsonetEurope,0003,0.016,0.197,0.213,1.06848
BsonetEurope,0004,0.015,0.198,0.213,1.046675
BtAsiaPac,0000,0.016,8.852,8.868,0.9000349999999999
BtAsiaPac,0001,0.016,3.278,3.294,0.9000809999999998
BtAsiaPac,0002,0.016,9.984,10.0,0.9000809999999999
BtAsiaPac,0003,0.016,0.294,0.31,0.900072
BtAsiaPac,0004,0.014,1.129,1.143,0.90008
BtEurope,0000,0.016,0.384,0.4,0.899994
BtEurope,0001,0.017,0.563,0.58,0.899993
BtEurope,0002,0.016,0.546,0.562,0.900033
BtEurope,0003,0.016,0.535,0.551,0.900026
BtEurope,0004,0.016,0.512,0.528,1.131795
BtLatinAmerica,0000,0.027,1.53,1.557,0.899748
BtLatinAmerica,0001,0.027,1.433,1.46,0.899738
BtLatinAmerica,0002,0.034,1.327,1.361,0.899758
BtLatinAmerica,0003,0.031,1.378,1.409,0.899746
BtLatinAmerica,0004,0.023,1.397,1.42,0.89975
BtNorthAmerica,0000,0.022,84.932,84.954,0.9000589999999999
BtNorthAmerica,0001,0.023,114.025,114.048,0.90007
BtNorthAmerica,0002,0.022,18.214,18.236,0.900059
BtNorthAmerica,0003,0.023,1311.538,1311.561,0.900067
BtNorthAmerica,0004,0.03,9.856,9.886,0.900044
Canerie,0000,0.026,0.61,0.636,0.899969
Canerie,0001,0.013,0.571,0.584,0.900002
Canerie,0002,0.021,0.647,0.668,0.900026
Canerie,0003,0.024,0.602,0.626,0.899986
Canerie,0004,0.031,0.646,0.677,0.899992
Carnet,0000,0.031,0.878,0.909,0.899842
Carnet,0001,0.032,0.87,0.902,0.899832
Carnet,0002,0.031,0.932,0.963,0.899832
Carnet,0003,0.013,0.915,0.928,0.899839
Carnet,0004,0.035,0.9,0.935,0.899834
Cernet,0000,0.027,0.84,0.867,1.3497999999999999
Cernet,0001,0.023,0.856,0.879,1.1321548387096774
Cernet,0002,0.029,0.819,0.848,1.0376388053998387
Cernet,0003,0.024,0.894,0.918,1.3497161290322581
Cernet,0004,0.023,0.786,0.809,1.3498258064516129
Cesnet1993,0000,0.001,0.049,0.05,0.8981666666666667
Cesnet1993,0001,0.001,0.058,0.059,0.8975
Cesnet1993,0002,0.001,0.049,0.05,0.8975
Cesnet1993,0003,0.001,0.055,0.056,0.8975
Cesnet1993,0004,0.001,0.052,0.053,0.8985
Cesnet1997,0000,0.001,0.068,0.069,0.8994705882352941
Cesnet1997,0001,0.001,0.068,0.069,0.8995
Cesnet1997,0002,0.001,0.068,0.069,0.8994705882352941
Cesnet1997,0003,0.001,0.067,0.068,0.8993529411764706
Cesnet1997,0004,0.001,0.069,0.07,0.8993823529411765
Cesnet1999,0000,0.001,0.068,0.069,0.8998774193548387
Cesnet1999,0001,0.001,0.069,0.07,0.8998529411764706
Cesnet1999,0002,0.002,0.063,0.065,0.89925
Cesnet1999,0003,0.001,0.066,0.067,0.8992258064516129
Cesnet1999,0004,0.001,0.072,0.073,0.8998529411764706
Cesnet2001,0000,0.016,0.254,0.27,1.0581070126807588
Cesnet2001,0001,0.016,0.25,0.266,1.0581070126807588
Cesnet2001,0002,0.016,0.254,0.27,1.0581092801387684
Cesnet2001,0003,0.016,0.257,0.273,1.0581002103067303
Cesnet2001,0004,0.016,0.239,0.255,1.0581070126807588
Cesnet200304,0000,0.004,0.455,0.459,0.9000651999999999
Cesnet200304,0001,0.006,0.442,0.448,0.8999583333333333
Cesnet200304,0002,0.004,0.43,0.434,0.9000588
Cesnet200304,0003,0.004,0.462,0.466,0.900061
Cesnet200304,0004,0.005,0.407,0.412,0.8999533333333334
Cesnet200511,0000,0.024,0.828,0.852,0.9000079999999999
Cesnet200511,0001,0.031,0.81,0.841,0.9000888
Cesnet200511,0002,0.024,0.784,0.808,0.9000484
Cesnet200511,0003,0.025,0.832,0.857,0.9000897994679578
Cesnet200511,0004,0.023,0.879,0.902,0.9000192
Cesnet200603,0000,0.025,0.797,0.822,0.9000627999999999
Cesnet200603,0001,0.029,0.804,0.833,0.899922
Cesnet200603,0002,0.028,0.798,0.826,0.9000324000000001
Cesnet200603,0003,0.023,1.006,1.029,0.900014
Cesnet200603,0004,0.029,0.906,0.935,0.9000192
Cesnet200706,0000,0.013,1.086,1.099,0.9000676
Cesnet200706,0001,0.026,1.032,1.058,0.9000348
Cesnet200706,0002,0.029,1.068,1.097,0.9000746723706122
Cesnet200706,0003,0.033,1.093,1.126,0.9000519915103795
Cesnet200706,0004,0.036,1.083,1.119,0.9000650766220523
Cesnet201006,0000,0.035,1.787,1.822,0.8999952684204715
Cesnet201006,0001,0.038,1.794,1.832,0.8999688122768716
Cesnet201006,0002,0.044,1.758,1.802,0.9000537771995867
Cesnet201006,0003,0.02,2.174,2.194,0.8999749175407793
Cesnet201006,0004,0.02,1.795,1.815,0.9000196894761022
Chinanet,0000,0.028,2.475,2.503,0.90007
Chinanet,0001,0.032,2.344,2.376,1.192499
Chinanet,0002,0.029,3.466,3.495,0.90001
Chinanet,0003,0.028,2.708,2.736,0.900115
Chinanet,0004,0.025,1.737,1.762,1.260922
Claranet,0000,0.001,0.164,0.165,0.9000769999999999
Claranet,0001,0.001,0.128,0.129,0.90005
Claranet,0002,0.002,0.128,0.13,0.900045
Claranet,0003,0.001,0.425,0.426,0.9000579999999999
Claranet,0004,0.001,0.123,0.124,0.899993
Cogentco,0000,0.559,531.359,531.918,0.89857
Cogentco,0001,0.56,547.914,548.474,0.898584
Cogentco,0002,0.566,542.63,543.196,0.898574
Cogentco,0003,0.568,534.919,535.487,0.898513
