Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
BtEurope,0003,0,0.04,8.855,8.895,0.900075
BtEurope,0004,0,0.037,17.355,17.392,1.131795
BtLatinAmerica,0000,0,0.245,361.629,361.874,0.899748
BtLatinAmerica,0001,0,0.243,375.253,375.496,0.899738
BtLatinAmerica,0002,0,0.323,365.15,365.473,0.899758
BtLatinAmerica,0003,0,0.249,389.943,390.192,0.899746
BtLatinAmerica,0004,0,0.244,379.959,380.203,0.89975
BtNorthAmerica,0000,1,0.126,1810.108,1810.234,0.900226
BtNorthAmerica,0001,0,0.181,845.117,845.298,0.9000656666666665
BtNorthAmerica,0002,1,0.126,1811.291,1811.417,0.9000408333333334
BtNorthAmerica,0003,1,0.137,1810.57,1810.707,0.9002777208333334
BtNorthAmerica,0004,0,0.197,690.11,690.307,0.900066
Canerie,0000,0,0.102,18.426,18.528,0.899954
Canerie,0001,0,0.101,17.618,17.719,0.899941
Canerie,0002,0,0.095,18.536,18.631,0.899982
Canerie,0003,0,0.094,17.71,17.804,0.900016
Canerie,0004,0,0.103,18.697,18.8,0.900003
Carnet,0000,0,0.291,51.04,51.331,0.899842
Carnet,0001,0,0.237,59.267,59.504,0.899832
Carnet,0002,0,0.276,54.019,54.295,0.899832
Carnet,0003,0,0.244,52.805,53.049,0.899839
Carnet,0004,0,0.241,53.572,53.813,0.899834
Cernet,0000,0,0.213,132.419,132.632,0.9565876355435021
Cernet,0001,0,0.215,192.811,193.026,1.0418454885623885
Cernet,0002,0,0.198,157.474,157.672,1.0376527849617192
Cernet,0003,0,0.215,130.087,130.302,0.9492432
Cernet,0004,0,0.208,168.238,168.446,0.9283559103257704
Cesnet1993,0000,0,0.018,0.164,0.182,0.8981666666666667
Cesnet1993,0001,0,0.014,0.111,0.125,0.8975
Cesnet1993,0002,0,0.017,0.12,0.137,0.8975
Cesnet1993,0003,0,0.015,0.107,0.122,0.8975
Cesnet1993,0004,0,0.018,0.135,0.153,0.8985
Cesnet1997,0000,0,0.014,0.24,0.254,0.8994705882352941
Cesnet1997,0001,0,0.025,0.268,0.293,0.8995
Cesnet1997,0002,0,0.018,0.282,0.3,0.8994705882352941
Cesnet1997,0003,0,0.01,0.25,0.26,0.8993529411764706
Cesnet1997,0004,0,0.014,0.268,0.282,0.8993823529411765
Cesnet1999,0000,0,0.01,0.208,0.218,0.8998774193548387
Cesnet1999,0001,0,0.013,0.208,0.221,0.8998529411764706
Cesnet1999,0002,0,0.01,0.2,0.21,0.89925
Cesnet1999,0003,0,0.011,0.202,0.213,0.8992258064516129
Cesnet1999,0004,0,0.011,0.273,0.284,0.8998529411764706
Cesnet2001,0000,0,0.039,2.65,2.689,1.0581070126807588
Cesnet2001,0001,0,0.042,2.644,2.686,1.0581070126807588
Cesnet2001,0002,0,0.056,2.617,2.673,1.0581092801387684
Cesnet2001,0003,0,0.04,2.42,2.46,1.0581002103067303
Cesnet2001,0004,0,0.069,2.696,2.765,1.0581070126807588
Cesnet200304,0000,0,0.061,6.884,6.945,0.900011
Cesnet200304,0001,0,0.07,7.097,7.167,0.8999583333333333
Cesnet200304,0002,0,0.059,6.843,6.902,0.9000408
Cesnet200304,0003,0,0.062,7.03,7.092,0.9000568
Cesnet200304,0004,0,0.073,7.035,7.108,0.8999533333333334
Cesnet200511,0000,0,0.144,139.926,140.07,0.9000433
Cesnet200511,0001,0,0.154,99.978,100.132,0.9000646999999999
Cesnet200511,0002,0,0.154,104.033,104.187,0.9000231
Cesnet200511,0003,0,0.138,179.274,179.412,0.9000505988943025
Cesnet200511,0004,0,0.154,101.677,101.831,0.900073
Cesnet200603,0000,0,0.157,166.741,166.898,0.9001151
Cesnet200603,0001,0,0.148,99.985,100.133,0.899922
Cesnet200603,0002,0,0.184,132.304,132.488,0.9000915
Cesnet200603,0003,0,0.16,169.756,169.916,0.900052
Cesnet200603,0004,0,0.152,158.026,158.178,0.9000252692928639
Cesnet200706,0000,0,0.278,168.556,168.834,0.8999872
Cesnet200706,0001,0,0.237,182.624,182.861,0.9000266936278123
Cesnet200706,0002,0,0.264,190.135,190.399,0.9000516643825878
Cesnet200706,0003,0,0.245,171.313,171.558,0.9000382521431232
Cesnet200706,0004,0,0.26,192.486,192.746,0.9000523186381714
Cesnet201006,0000,0,0.465,508.758,509.223,0.9000217881605704
Cesnet201006,0001,0,0.552,550.709,551.261,0.9000062070183061
Cesnet201006,0002,0,0.522,518.282,518.804,0.8999662684169102
Cesnet201006,0003,0,0.524,484.8,485.324,0.9000270666699907
Cesnet201006,0004,0,0.508,487.523,488.031,0.9000098532175842
Chinanet,0000,0,0.236,1622.907,1623.143,0.900015
Chinanet,0001,1,0.236,1814.753,1814.989,1.02341775
Chinanet,0002,0,0.25,1635.17,1635.42,0.9000135
Chinanet,0003,0,0.235,359.509,359.744,0.9000704166666667
Chinanet,0004,0,0.327,1588.176,1588.503,0.9525988333333333
Claranet,0000,0,0.026,0.908,0.934,0.9000755
Claranet,0001,0,0.03,0.645,0.675,0.9000455
Claranet,0002,0,0.022,0.512,0.534,0.900032
Claranet,0003,0,0.03,0.612,0.642,0.9000735
Claranet,0004,0,0.022,0.548,0.57,0.900035
Cogentco,0000,2,-,-,-,-
Cogentco,0001,2,-,-,-,-
Cogentco,0002,2,-,-,-,-
Cogentco,0003,2,-,-,-,-
Cogentco,0004,2,-,-,-,-
Colt,0000,2,-,-,-,-
Colt,0001,2,-,-,-,-
Colt,0002,2,-,-,-,-
Colt,0003,2,-,-,-,-
Colt,0004,2,-,-,-,-
Columbus,0000,2,-,-,-,-
Columbus,0001,2,-,-,-,-
Columbus,0002,2,-,-,-,-
Columbus,0003,1,1.336,2038.178,2039.514,3.2637295
Columbus,0004,2,-,-,-,-
Compuserve,0000,0,0.021,1.46,1.481,0.8999444444444444
Compuserve,0001,0,0.018,2.681,2.699,0.8999333333333334
Compuserve,0002,0,0.024,9.108,9.132,0.9001222222222223
Compuserve,0003,0,0.019,0.996,1.015,0.8999111111111093
Compuserve,0004,0,0.018,1.319,1.337,0.8999055555555555
CrlNetworkServices,0000,0,0.125,25.197,25.322,0.8991777777777777
CrlNetworkServices,0001,0,0.143,22.752,22.895,0.8986611111111111
CrlNetworkServices,0002,0,0.103,22.016,22.119,0.8986777777777778
CrlNetworkServices,0003,0,0.099,22.056,22.155,0.8986111111111111
CrlNetworkServices,0004,0,0.088,22.006,22.094,0.8987555555555554
Cudi,0000,0,0.364,182.915,183.279,0.8998870833333333
Cudi,0001,0,0.36,185.907,186.267,0.8999529166666667
Cudi,0002,0,0.377,194.032,194.409,0.8998883333333333
Cudi,0003,0,0.39,191.528,191.918,0.8998845833333333
Cudi,0004,0,0.368,181.156,181.524,0.8998883333333333
Cwix,0000,0,0.123,28.557,28.68,0.8988222222222222
Cwix,0001,0,0.191,30.778,30.969,0.8989111111111111
Cwix,0002,0,0.136,28.182,28.318,0.8988666666666667
Cwix,0003,0,0.114,29.997,30.111,0.8988666666666666
Cwix,0004,0,0.135,27.517,27.652,0.8989259259259254
Cynet,0000,0,0.07,6.567,6.637,0.8994971804511278
Cynet,0001,0,0.062,6.868,6.93,0.8994501879699248
Cynet,0002,0,0.057,6.656,6.713,0.8994736842105263
Cynet,0003,0,0.061,6.77,6.831,0.8995112781954887
Cynet,0004,0,0.059,6.716,6.775,0.8994736842105263
Darkstrand,0000,0,0.071,11.09,11.161,0.8999805
Darkstrand,0001,0,0.047,11.222,11.269,0.899997
Darkstrand,0002,0,0.064,10.93,10.994,0.8999545
Darkstrand,0003,0,0.049,11.486,11.535,0.89998875
Darkstrand,0004,0,0.056,11.03,11.086,0.89998025
Dataxchange,0000,0,0.007,0.055,0.062,1.0392666666666666
Dataxchange,0001,0,0.006,0.052,0.058,1.0802222222222222
Dataxchange,0002,0,0.006,0.053,0.059,1.202399999999999
Dataxchange,0003,0,0.006,0.048,0.054,0.8999333333333334
Dataxchange,0004,0,0.005,0.048,0.053,1.432511111111111
Deltacom,0000,2,-,-,-,-
Deltacom,0001,2,-,-,-,-
Deltacom,0002,2,-,-,-,-
Deltacom,0003,2,-,-,-,-
Deltacom,0004,2,-,-,-,-
DeutscheTelekom,0000,0,0.087,24.319,24.406,0.900044
DeutscheTelekom,0001,0,0.087,22.102,22.189,0.899957
DeutscheTelekom,0002,0,0.086,21.738,21.824,0.899957
DeutscheTelekom,0003,0,0.084,23.886,23.97,0.899961
DeutscheTelekom,0004,0,0.117,21.461,21.578,0.89996
Dfn,0000,0,0.647,1529.61,1530.257,0.90000425
Dfn,0001,1,0.703,1861.025,1861.728,6.2989745
Dfn,0002,1,0.726,1875.997,1876.723,5.9270524978637695
Dfn,0003,1,0.652,1874.22,1874.872,5.9620161056518555
Dfn,0004,1,0.651,1916.054,1916.705,0.98876325
DialtelecomCz,0000,2,-,-,-,-
DialtelecomCz,0001,2,-,-,-,-
DialtelecomCz,0002,2,-,-,-,-
DialtelecomCz,0003,2,-,-,-,-
DialtelecomCz,0004,2,-,-,-,-
Digex,0000,0,0.094,18.342,18.436,0.8989444444444444
Digex,0001,0,0.09,18.679,18.769,0.8988444444444444
Digex,0002,0,0.091,18.678,18.769,0.8988444444444444
Digex,0003,0,0.097,18.774,18.871,0.8987555555555555
Digex,0004,0,0.086,19.125,19.211,0.8988777777777778
Easynet,0000,0,0.042,1.774,1.816,0.900025
Easynet,0001,0,0.028,1.803,1.831,0.9000265
Easynet,0002,0,0.028,1.752,1.78,0.899978
Easynet,0003,0,0.03,1.974,2.004,0.900031
Easynet,0004,0,0.036,1.983,2.019,0.89999
Eenet,0000,0,0.014,0.318,0.332,0.9539915
Eenet,0001,0,0.014,0.277,0.291,0.9539885
Eenet,0002,0,0.014,0.335,0.349,0.953989
Eenet,0003,0,0.011,0.269,0.28,0.95399
Eenet,0004,0,0.011,0.317,0.328,0.953991
EliBackbone,0000,0,0.032,5.595,5.627,0.900026
EliBackbone,0001,0,0.033,4.585,4.618,0.9000468333333334
