Topology,DemandFile,Exit code,Total  time,pre-uMax,post-uMax
BtEurope,0004,0,2.018526301,2.261043083333333,1.131795
BtLatinAmerica,0000,0,1.019054673,0.899748,0.899748
BtLatinAmerica,0001,0,1.196995784,0.899738,0.899738
BtLatinAmerica,0002,0,0.930034158,0.899758,0.899758
BtLatinAmerica,0003,0,1.120240596,0.899746,0.899746
BtLatinAmerica,0004,0,0.93543339,0.89975,0.89975
BtNorthAmerica,0000,0,130.034579935,1.9001776458333333,0.9000637361111111
BtNorthAmerica,0001,0,60.583040703,1.6197473888888891,0.9000703333333334
BtNorthAmerica,0002,0,61.329661339,1.8313633194444447,0.9058919166666666
BtNorthAmerica,0003,0,1665.847803007,1.7371325958333335,0.9000590708333333
BtNorthAmerica,0004,0,25.351957515,1.7186296458333334,0.9000465
Canerie,0000,0,1.026294589,1.586299,0.900004
Canerie,0001,0,0.59429676,1.785087,0.899958
Canerie,0002,0,1.192930761,1.4696205,0.899982
Canerie,0003,0,0.928476971,1.477942,0.899998
Canerie,0004,0,1.22323153,1.441775,0.899995
Carnet,0000,0,0.655037383,0.899842,0.899842
Carnet,0001,0,0.604775576,0.899832,0.899832
Carnet,0002,0,0.681702043,0.899832,0.899832
Carnet,0003,0,0.657918807,0.899839,0.899839
Carnet,0004,0,0.69438313,0.899834,0.899834
Cernet,0000,0,3.694556109,1.0943850666666666,0.9566365640100839
Cernet,0001,0,3.067677591,1.1901406809910577,1.0418408287084282
Cernet,0002,0,2.259294791,1.148285872720749,1.0376085163490976
Cernet,0003,0,2.886690831,1.1745741935483873,0.9492432
Cernet,0004,0,3.058293594,1.1915709677419357,0.9283629001067106
Cesnet1993,0000,0,0.040946464,0.8981666666666667,0.8981666666666667
Cesnet1993,0001,0,0.040225684,0.8975,0.8975
Cesnet1993,0002,0,0.041576235,0.8975,0.8975
Cesnet1993,0003,0,0.040838197,0.8975,0.8975
Cesnet1993,0004,0,0.040781567,0.8985,0.8985
Cesnet1997,0000,0,0.052939988,0.8994705882352941,0.8994705882352941
Cesnet1997,0001,0,0.052018975,0.8995,0.8995
Cesnet1997,0002,0,0.052003342,0.8994705882352941,0.8994705882352941
Cesnet1997,0003,0,0.05416851,0.8993529411764706,0.8993529411764706
Cesnet1997,0004,0,0.052030954,0.8993823529411765,0.8993823529411765
Cesnet1999,0000,0,0.054029929,0.8998774193548387,0.8998774193548387
Cesnet1999,0001,0,0.050535186,0.8998529411764706,0.8998529411764706
Cesnet1999,0002,0,0.051719086,0.89925,0.89925
Cesnet1999,0003,0,0.052810445,0.8992258064516129,0.8992258064516129
Cesnet1999,0004,0,0.053860486,0.8998529411764706,0.8998529411764706
Cesnet2001,0000,0,0.1449233,1.058107012680759,1.058107012680759
Cesnet2001,0001,0,0.149093724,1.058107012680759,1.058107012680759
Cesnet2001,0002,0,0.139970079,1.0581092801387684,1.0581092801387684
Cesnet2001,0003,0,0.136539067,1.0581002103067303,1.0581002103067303
Cesnet2001,0004,0,0.13590641,1.058107012680759,1.058107012680759
Cesnet200304,0000,0,1.621952384,1.2551908,0.900063
