Topology,DemandFile,Exit code,Preprocessing time,ILP solve time,Total  time,uMax
DeutscheTelekom,0002,0,1.58,3.423,5.003,0.899957
DeutscheTelekom,0003,0,1.58,3.601,5.181,0.899961
DeutscheTelekom,0004,0,1.58,3.772,5.352,0.89996
Dfn,0000,0,26.553,26.09,52.643,0.900018
Dfn,0001,0,26.553,47.581,74.134,0.900096
Dfn,0002,0,26.553,27.862,54.415,0.900035
Dfn,0003,0,26.553,32.438,58.991,0.900036
Dfn,0004,0,26.553,34.053,60.605999999999995,0.900156
DialtelecomCz,0000,0,164.425,614.868,779.2930000000001,0.899231
DialtelecomCz,0001,0,164.425,748.447,912.8720000000001,0.899228
DialtelecomCz,0002,0,164.425,603.212,767.637,0.89927
DialtelecomCz,0003,0,164.425,696.738,861.163,0.899303
DialtelecomCz,0004,0,164.425,676.274,840.6990000000001,0.899269
Digex,0000,0,0.271,1.234,1.505,0.8988888888888888
Digex,0001,0,0.271,1.126,1.3969999999999998,0.8988666666666666
Digex,0002,0,0.271,1.21,1.4809999999999999,0.8988444444444444
Digex,0003,0,0.271,1.17,1.4409999999999998,0.8988222222222219
Digex,0004,0,0.271,1.137,1.408,0.8988
Easynet,0000,0,0.085,0.365,0.45,0.900044
Easynet,0001,0,0.085,0.306,0.391,0.89999
Easynet,0002,0,0.085,0.308,0.393,0.899991
Easynet,0003,0,0.085,0.361,0.446,0.899985
Easynet,0004,0,0.085,0.381,0.466,0.90003
Eenet,0000,0,0.028,0.045,0.073,1.907983
Eenet,0001,0,0.028,0.051,0.079,1.907977
Eenet,0002,0,0.028,0.056,0.084,1.907978
Eenet,0003,0,0.028,0.052,0.08,1.90798
Eenet,0004,0,0.028,0.06,0.088,1.907982
EliBackbone,0000,0,0.261,0.958,1.2189999999999999,0.900067
EliBackbone,0001,0,0.261,1.076,1.3370000000000002,0.900035
EliBackbone,0002,0,0.261,1.147,1.408,0.900007
EliBackbone,0003,0,0.261,1.423,1.6840000000000002,0.900077
EliBackbone,0004,0,0.261,1.078,1.339,0.900068
Epoch,0000,0,0.033,0.056,0.089,0.9926666666666667
Epoch,0001,0,0.033,0.087,0.12,0.9006666666666653
Epoch,0002,0,0.033,0.094,0.127,0.9004888888888889
Epoch,0003,0,0.033,0.079,0.112,0.9094888888888882
Epoch,0004,0,0.033,0.145,0.178,0.9004444444444445
Ernet,0000,0,0.104,0.346,0.44999999999999996,0.899951
Ernet,0001,0,0.104,0.266,0.37,0.899946
Ernet,0002,0,0.104,0.27,0.374,0.899949
