Topology,DemandFile,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Columbus,0001,0.478,2.728,48459,336278
Columbus,0002,0.495,2.023,44461,242621
Columbus,0003,0.473,1.148,35774,164521
Columbus,0004,0.522,1.517,38450,195535
Compuserve,0000,0.029,0.04,627,1108
Compuserve,0001,0.036,0.033,650,1567
Compuserve,0002,0.03,0.034,721,1682
Compuserve,0003,0.03,0.037,821,2146
Compuserve,0004,0.027,0.038,678,1427
CrlNetworkServices,0000,0.091,0.138,4865,13257
CrlNetworkServices,0001,0.09,0.129,4857,12253
CrlNetworkServices,0002,0.101,0.136,4824,13493
CrlNetworkServices,0003,0.088,0.135,4695,12222
CrlNetworkServices,0004,0.093,0.127,4958,13858
Cwix,0000,0.095,0.136,5834,14799
Cwix,0001,0.095,0.113,5386,12416
Cwix,0002,0.092,0.134,6319,19191
Cwix,0003,0.1,0.141,5409,12609
Cwix,0004,0.093,0.128,5579,14167
Darkstrand,0000,0.098,0.091,3016,6214
Darkstrand,0001,0.069,0.085,2789,4766
Darkstrand,0002,0.064,0.112,2976,6496
Darkstrand,0003,0.076,0.101,3160,7274
Darkstrand,0004,0.072,0.083,2815,6618
Dataxchange,0000,0.018,0.019,124,308
Dataxchange,0002,0.026,0.02,140,325
Dataxchange,0003,0.027,0.022,136,300
Dataxchange,0004,0.017,0.019,124,245
Deltacom,0000,2.911,247.268,283884,4578024
Deltacom,0001,3.306,339.3,306456,5385686
Deltacom,0002,2.74,183.955,271121,4150767
Deltacom,0003,2.847,214.235,277954,4246839
Deltacom,0004,3.003,225.661,282063,4537502
DeutscheTelekom,0000,0.085,0.408,8451,50284
DeutscheTelekom,0001,0.081,0.388,8831,56566
DeutscheTelekom,0002,0.078,0.966,11168,111596
DeutscheTelekom,0003,0.081,1.049,11425,116562
DeutscheTelekom,0004,0.086,0.618,10182,83227
Dfn,0000,0.276,2.034,37183,252316
Dfn,0001,0.32,2.741,40923,314892
Dfn,0002,0.329,3.087,41295,324822
Dfn,0003,0.309,3.755,45415,378598
Dfn,0004,0.319,3.864,47239,398136
DialtelecomCz,0000,4.641,13.089,165846,970524
DialtelecomCz,0001,4.546,11.187,162188,875098
DialtelecomCz,0002,4.615,20.224,204928,1420530
DialtelecomCz,0003,4.614,15.434,193878,1230101
DialtelecomCz,0004,4.758,15.385,182121,1146522
Digex,0000,0.082,0.173,3848,9388
Digex,0001,0.089,0.129,3748,7843
Digex,0002,0.08,0.127,4154,9086
Digex,0003,0.087,0.11,3907,8967
Digex,0004,0.083,0.115,3756,8081
Easynet,0000,0.046,0.067,1752,5712
Easynet,0001,0.046,0.055,1387,2941
Easynet,0002,0.038,0.051,1339,3051
Easynet,0003,0.04,0.068,1919,6683
Easynet,0004,0.047,0.065,1745,5146
Eenet,0000,0.027,0.026,221,221
Eenet,0001,0.031,0.027,271,271
Eenet,0002,0.038,0.027,215,215
Eenet,0003,0.034,0.034,262,262
EliBackbone,0000,0.052,0.089,2533,10196
EliBackbone,0001,0.05,0.077,2352,8670
EliBackbone,0002,0.044,0.111,3032,14563
EliBackbone,0003,0.05,0.086,2482,9280
EliBackbone,0004,0.05,0.083,2411,8763
Epoch,0000,0.02,0.023,59,78
Epoch,0002,0.02,0.025,75,103
Epoch,0003,0.027,0.025,82,126
Epoch,0004,0.016,0.03,120,249
Ernet,0000,0.07,0.089,3335,7840
Ernet,0001,0.075,0.075,2521,4093
Ernet,0002,0.064,0.078,2742,4511
Ernet,0003,0.075,0.08,2686,4343
Ernet,0004,0.082,0.087,2639,4035
Esnet,0000,0.364,0.821,31138,110527
Esnet,0001,0.405,0.831,28027,108446
Esnet,0002,0.351,0.739,28822,102964
Esnet,0003,0.382,0.577,27379,91389
Esnet,0004,0.353,0.727,28773,106496
Eunetworks,0000,0.035,0.034,641,1178
Eunetworks,0001,0.028,0.031,600,1155
Eunetworks,0002,0.028,0.032,595,1060
Eunetworks,0003,0.032,0.036,678,1424
Eunetworks,0004,0.028,0.054,685,1422
Evolink,0000,0.102,0.126,6343,13671
Evolink,0001,0.101,0.16,6823,18215
Evolink,0002,0.09,0.153,5888,15782
Evolink,0003,0.098,0.142,5592,13127
Evolink,0004,0.1,0.165,7044,17841
Fccn,0000,0.052,0.057,1401,2507
Fccn,0001,0.052,0.054,1360,1860
Fccn,0002,0.082,0.054,1371,1880
Fccn,0003,0.05,0.062,1460,2592
Fccn,0004,0.05,0.047,1359,1859
Forthnet,0001,0.238,0.225,5235,5235
Forthnet,0002,0.177,0.173,5268,5268
Forthnet,0003,0.176,0.214,5235,5235
Forthnet,0004,0.22,0.204,5283,5283
Funet,0000,0.058,0.077,2688,6970
Funet,0001,0.057,0.084,2540,5988
Funet,0002,0.066,0.081,2495,6018
Funet,0003,0.065,0.07,2697,6293
Funet,0004,0.056,0.079,2722,6946
Garr199901,0002,0.039,0.031,604,866
