Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Evolink,0004,0.36,1.196,0.45999999999999996,1.361,0.89997075,0.8999245
Fccn,0000,0.071,0.124,0.123,0.181,0.9000155,0.9000245
Fccn,0001,0.107,0.078,0.159,0.132,0.899969,0.899969
Fccn,0002,0.099,0.121,0.181,0.175,0.900055,0.8999755
Fccn,0003,0.107,0.148,0.157,0.21,0.8999915,0.8999685
Fccn,0004,0.149,0.104,0.199,0.151,0.900002,0.899983
Dfn,0000,5.095,103.409,5.5169999999999995,129.96200000000002,0.900028875,0.89998275
Forthnet,0001,0.115,0.104,0.353,0.329,0.8999883888888889,0.8999883888888889
Forthnet,0002,0.104,0.115,0.28099999999999997,0.288,0.8999891111111111,0.8999891111111111
Forthnet,0003,0.106,0.12,0.282,0.33399999999999996,0.8999876111111111,0.8999876111111111
Forthnet,0004,0.098,0.121,0.318,0.32499999999999996,0.899989611111111,0.899989611111111
Funet,0000,0.21,0.478,0.268,0.5549999999999999,0.8999775,0.899988
Funet,0001,0.257,0.509,0.314,0.593,0.900026,0.8999585
Funet,0002,0.266,0.453,0.332,0.534,0.8999625,0.8999739999999999
Funet,0003,0.164,0.399,0.229,0.46900000000000003,0.900008,0.899985
Funet,0004,0.19,0.499,0.246,0.578,0.900009,0.9000285
Digex,0000,0.461,3.064,0.534,3.335,0.8988666666666667,0.8988888888888888
Digex,0001,0.449,2.85,0.522,3.121,0.8988,0.8988777777777778
Garr199901,0002,0.232,0.207,0.271,0.238,0.900081,0.9000645
Garr199901,0003,0.152,0.221,0.185,0.253,0.9000453333333334,0.900039
Garr199901,0004,0.235,0.138,0.27199999999999996,0.17500000000000002,0.900057,0.900078
Easynet,0000,0.17,0.66,0.21200000000000002,0.745,0.90006,0.900026
Easynet,0001,0.17,0.514,0.21200000000000002,0.599,0.900018,0.900035
Easynet,0002,0.227,0.626,0.269,0.711,0.9000395,0.899978
Easynet,0003,0.201,0.721,0.24300000000000002,0.8059999999999999,0.89998,0.900017
Garr199904,0004,0.128,0.202,0.178,0.254,0.8999354838709678,0.8999139784946237
Eenet,0000,0.43,0.151,0.477,0.193,0.947455,0.947455
Eenet,0001,0.519,0.092,0.5660000000000001,0.134,0.9000335,0.9000335
Eenet,0002,0.06,0.078,0.107,0.12,0.9428179999999999,0.9428179999999999
Eenet,0003,0.164,0.102,0.21100000000000002,0.144,0.901251,0.901251
Garr199905,0004,0.153,0.212,0.203,0.265,0.899948387096774,0.8999387096774194
EliBackbone,0000,0.588,3.158,0.638,3.419,0.9000612499999999,0.900005
