Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Eenet,0002,0.001,0.048,0.049,1.907978
Eenet,0003,0.001,0.049,0.05,1.90798
Eenet,0004,0.001,0.048,0.049,1.907982
EliBackbone,0000,0.002,0.21,0.212,0.90003
EliBackbone,0001,0.002,0.396,0.398,0.900037
EliBackbone,0002,0.002,0.341,0.343,0.900075
EliBackbone,0003,0.002,0.378,0.38,0.900069
EliBackbone,0004,0.002,0.232,0.234,0.899996
Epoch,0000,0.0,0.027,0.027,1.073022222222222
Epoch,0001,0.0,0.032,0.032,0.9148000000000001
Epoch,0002,0.0,0.036,0.036,0.9212444444444418
Epoch,0003,0.0,0.027,0.027,1.035022222222222
Epoch,0004,0.0,0.033,0.033,0.9382444444444444
Ernet,0000,0.004,0.249,0.253,0.8999510000000001
Ernet,0001,0.009,0.277,0.286,0.899946
Ernet,0002,0.004,0.245,0.249,0.899949
Ernet,0003,0.005,0.261,0.266,0.899947
Ernet,0004,0.005,0.251,0.256,0.8999489999999999
Esnet,0000,0.023,5.022,5.045,1.311559826658204
Esnet,0001,0.024,4.711,4.735,1.3114584
Esnet,0002,0.023,4.892,4.915,1.3115774108180127
Esnet,0003,0.023,4.679,4.702,1.3115123019019646
Esnet,0004,0.025,4.691,4.716,1.3115362
Eunetworks,0000,0.001,0.09,0.091,0.899989
Eunetworks,0001,0.001,0.114,0.115,0.90007
Eunetworks,0002,0.001,0.09,0.091,0.900018
Eunetworks,0003,0.001,0.107,0.108,0.900058
Eunetworks,0004,0.001,0.105,0.106,0.900062
Evolink,0000,0.009,0.534,0.543,0.899949
Evolink,0001,0.008,0.596,0.604,0.899948
Evolink,0002,0.009,0.621,0.63,0.899928
Evolink,0003,0.009,0.548,0.557,0.900003
Evolink,0004,0.008,0.6,0.608,0.899977
Fatman,0000,0.002,0.074,0.076,0.899978
Fatman,0001,0.001,0.074,0.075,0.8999769999999998
Fatman,0002,0.001,0.074,0.075,0.899971
Fatman,0003,0.001,0.071,0.072,0.899973
Fatman,0004,0.001,0.075,0.076,0.8999729999999999
Fccn,0000,0.002,0.169,0.171,0.900031
Fccn,0001,0.002,0.15,0.152,0.899969
Fccn,0002,0.002,0.241,0.243,0.900011
Fccn,0003,0.002,0.143,0.145,0.899987
Fccn,0004,0.003,0.161,0.164,0.900012
Forthnet,0000,0.02,1.824,1.844,0.8999888888888888
Forthnet,0001,0.022,1.854,1.876,0.8999883888888889
Forthnet,0002,0.021,1.956,1.977,0.8999891111111111
Forthnet,0003,0.02,1.922,1.942,0.8999876111111111
Forthnet,0004,0.021,1.89,1.911,0.8999896111111111
Funet,0000,0.003,0.32,0.323,0.900025
Funet,0001,0.003,0.334,0.337,0.900004
Funet,0002,0.003,0.309,0.312,0.899979
Funet,0003,0.003,0.281,0.284,0.899973
Funet,0004,0.003,0.297,0.3,0.90004
Gambia,0000,0.004,0.178,0.182,0.89968
Gambia,0001,0.004,0.184,0.188,0.89965
Gambia,0002,0.003,0.189,0.192,0.89968
Gambia,0003,0.003,0.231,0.234,0.899655
Gambia,0004,0.004,0.185,0.189,0.89966
Garr199901,0000,0.001,0.179,0.18,0.900047
Garr199901,0001,0.001,0.379,0.38,0.90008
Garr199901,0002,0.001,0.194,0.195,0.9
Garr199901,0003,0.001,0.161,0.162,0.900079
Garr199901,0004,0.001,0.141,0.142,0.900062
Garr199904,0000,0.003,0.171,0.174,0.8999483870967743
Garr199904,0001,0.002,0.197,0.199,0.8999483870967742
Garr199904,0002,0.003,0.172,0.175,0.899941935483871
Garr199904,0003,0.003,0.142,0.145,0.8999806451612903
Garr199904,0004,0.003,0.159,0.162,0.8999612903225807
Garr199905,0000,0.003,0.372,0.375,0.8999806451612904
Garr199905,0001,0.004,0.224,0.228,0.8999548387096774
Garr199905,0002,0.003,0.174,0.177,0.8999677419354839
Garr199905,0003,0.002,0.338,0.34,0.8999741935483871
Garr199905,0004,0.003,0.166,0.169,0.8999225806451613
Garr200109,0000,0.003,0.157,0.16,0.8999677419354839
Garr200109,0001,0.002,0.213,0.215,0.8999354838709678
Garr200109,0002,0.003,0.172,0.175,0.9
Garr200109,0003,0.003,0.183,0.186,0.8999032258064517
Garr200109,0004,0.003,0.178,0.181,0.8998967741935483
Garr200112,0000,0.002,0.177,0.179,0.899883870967742
Garr200112,0001,0.003,0.18,0.183,0.8999354838709678
Garr200112,0002,0.003,0.19,0.193,0.8999741935483871
Garr200112,0003,0.003,0.19,0.193,0.899916129032258
Garr200112,0004,0.003,0.167,0.17,0.8999290322580645
Garr200212,0000,0.003,0.189,0.192,0.8998193548387097
Garr200212,0001,0.003,0.184,0.187,1.1510387096774193
Garr200212,0002,0.004,0.194,0.198,1.1249032258064515
Garr200212,0003,0.003,0.19,0.193,0.8998322580645162
Garr200212,0004,0.004,0.232,0.236,0.8998064516129032
Garr200404,0000,0.002,0.216,0.218,0.8999483870967742
Garr200404,0001,0.003,0.149,0.152,0.8999354838709678
Garr200404,0002,0.003,0.197,0.2,0.8999548387096774
Garr200404,0003,0.003,0.175,0.178,0.8999612903225807
Garr200404,0004,0.002,0.19,0.192,0.8999870967741935
Garr200902,0000,0.018,2.277,2.295,0.9651428
Garr200902,0001,0.018,3.005,3.023,0.92873
Garr200902,0002,0.017,2.399,2.416,0.900048
Garr200902,0003,0.019,1.83,1.849,0.899902
Garr200902,0004,0.018,1.96,1.978,1.1045323351088925
Garr200908,0000,0.018,2.234,2.252,0.900012
Garr200908,0001,0.018,1.868,1.886,0.9000564
Garr200908,0002,0.026,2.229,2.255,0.946594
Garr200908,0003,0.017,2.306,2.323,0.9000848
Garr200908,0004,0.017,1.691,1.708,0.984247
Garr200909,0000,0.019,2.412,2.431,0.958866
Garr200909,0001,0.019,1.828,1.847,0.8999169230769231
Garr200909,0002,0.018,2.728,2.746,0.9533192
Garr200909,0003,0.019,1.969,1.988,0.9000312
Garr200909,0004,0.019,1.972,1.991,0.900104
Garr200912,0000,0.017,2.234,2.251,0.9469236
Garr200912,0001,0.018,2.198,2.216,0.9648643999999998
Garr200912,0002,0.018,1.719,1.737,0.8999138461538462
Garr200912,0003,0.017,1.875,1.892,0.8999261538461538
Garr200912,0004,0.018,2.375,2.393,0.9566813203834338
Garr201001,0000,0.019,1.863,1.882,0.9729164
Garr201001,0001,0.018,1.835,1.853,1.091937
Garr201001,0002,0.018,1.813,1.831,0.905651
Garr201001,0003,0.02,2.87,2.89,0.9205964
Garr201001,0004,0.018,1.827,1.845,1.007009
Garr201003,0000,0.018,3.183,3.201,0.9108371999999999
Garr201003,0001,0.018,1.923,1.941,1.019401
Garr201003,0002,0.019,2.322,2.341,0.8999184615384612
Garr201003,0003,0.017,2.417,2.434,0.919602
Garr201003,0004,0.018,1.927,1.945,0.8999169230769231
Garr201004,0000,0.018,3.5,3.518,0.965188
Garr201004,0001,0.018,2.627,2.645,0.9931836
Garr201004,0002,0.028,2.093,2.121,1.2046139999999999
Garr201004,0003,0.019,1.833,1.852,0.8999230769230769
Garr201004,0004,0.017,2.408,2.425,0.996268
Garr201005,0000,0.019,2.594,2.613,0.9000528
Garr201005,0001,0.021,2.509,2.53,0.9797247999999998
Garr201005,0002,0.018,2.125,2.143,1.0544084
Garr201005,0003,0.019,2.609,2.628,0.9000992
Garr201005,0004,0.018,3.275,3.293,0.9243414
Garr201007,0000,0.017,1.967,1.984,0.8999246153846154
Garr201007,0001,0.019,2.028,2.047,1.119515
Garr201007,0002,0.019,2.195,2.214,0.9101977
