Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
Cesnet1993,0001,0.043,0.125,0.8975,0.8975
Cesnet1993,0002,0.043,0.137,0.8975,0.8975
Cesnet1993,0003,0.044,0.122,0.8975,0.8975
Cesnet1993,0004,0.044,0.153,0.8985,0.8985
Cesnet1997,0000,0.056,0.254,0.8994705882352941,0.8994705882352941
Cesnet1997,0001,0.058,0.293,0.8995,0.8995
Cesnet1997,0002,0.056,0.3,0.8994705882352941,0.8994705882352941
Cesnet1997,0003,0.085,0.26,0.8993529411764706,0.8993529411764706
Cesnet1997,0004,0.061,0.282,0.8993823529411765,0.8993823529411765
Cesnet1999,0000,0.083,0.218,0.8998774193548387,0.8998774193548387
Cesnet1999,0001,0.055,0.221,0.8998529411764706,0.8998529411764706
Cesnet1999,0002,0.055,0.21,0.89925,0.89925
Cesnet1999,0003,0.055,0.213,0.8992258064516129,0.8992258064516129
Cesnet1999,0004,0.054,0.284,0.8998529411764706,0.8998529411764706
Cesnet2001,0000,0.152,2.689,1.0581070126807588,1.0581070126807588
Cesnet2001,0001,0.151,2.686,1.0581070126807588,1.0581070126807588
Cesnet2001,0002,0.154,2.673,1.0581092801387684,1.0581092801387684
Cesnet2001,0003,0.151,2.46,1.0581002103067303,1.0581002103067303
Cesnet2001,0004,0.15,2.765,1.0581070126807588,1.0581070126807588
Cesnet200304,0000,0.403,6.945,0.900048,0.900011
Cesnet200304,0001,0.313,7.167,0.8999583333333333,0.8999583333333333
Cesnet200304,0002,0.342,6.902,0.900042,0.9000408
Cesnet200304,0003,0.32,7.092,0.9000303999999999,0.9000568
Cesnet200304,0004,0.29,7.108,0.8999533333333334,0.8999533333333334
Cesnet200511,0000,0.904,140.07,0.9000548,0.9000433
Cesnet200511,0001,0.834,100.132,0.9000463,0.9000646999999999
Cesnet200511,0002,0.748,104.187,0.9000867,0.9000231
Cesnet200511,0003,0.739,179.412,0.9001395,0.9000505988943025
Cesnet200511,0004,0.728,101.831,0.9000680883810103,0.900073
Cesnet200603,0000,0.758,166.898,0.9004130534291758,0.9001151
Cesnet200603,0001,0.739,100.133,0.899922,0.899922
Cesnet200603,0002,0.709,132.488,0.9001371,0.9000915
Cesnet200603,0003,0.796,169.916,0.9000776,0.900052
Cesnet200603,0004,0.78,158.178,0.9000162230066358,0.9000252692928639
Cesnet200706,0000,1.053,168.834,0.9000556,0.8999872
Cesnet200706,0001,1.041,182.861,0.9000968080178585,0.9000266936278123
Cesnet200706,0002,1.024,190.399,0.9000004143618696,0.9000516643825878
Cesnet200706,0003,1.283,171.558,0.9000488292750587,0.9000382521431232
Cesnet200706,0004,0.903,192.746,0.9,0.9000523186381714
Cesnet201006,0000,1.97,509.223,0.9000172728091388,0.9000217881605704
Cesnet201006,0001,2.133,551.261,0.9000015008773773,0.9000062070183061
Cesnet201006,0002,2.132,518.804,0.8999867464896004,0.8999662684169102
Cesnet201006,0003,2.534,485.324,0.8999987450290852,0.9000270666699907
Cesnet201006,0004,2.118,488.031,0.9000239292427049,0.9000098532175842
Chinanet,0000,6.449,1623.143,0.9000128749999999,0.900015
Chinanet,0001,9.935,1814.989,1.00850075,1.02341775
Chinanet,0002,7.585,1635.42,0.9000075,0.9000135
Chinanet,0003,3.65,359.744,0.900073375,0.9000704166666667
Chinanet,0004,6.239,1588.503,0.954637375,0.9525988333333333
Claranet,0000,0.194,0.934,0.9000279999999999,0.9000755
Claranet,0001,0.12,0.675,0.900009,0.9000455
Claranet,0002,0.091,0.534,0.9000025,0.900032
Claranet,0003,0.118,0.642,0.900022,0.9000735
Claranet,0004,0.089,0.57,0.900079,0.900035
Cogentco,0000,761.179,-,0.8985311770833333,-
Cogentco,0001,837.743,-,0.8991125173611112,-
Cogentco,0002,828.703,-,0.8988368645833333,-
Cogentco,0003,933.462,-,0.8991683437500001,-
Cogentco,0004,918.932,-,0.8989684062499995,-
Colt,0000,310.203,-,0.8986831666666668,-
Colt,0001,318.665,-,0.8987168333333333,-
Colt,0002,311.706,-,0.8988314166666667,-
Colt,0003,299.095,-,0.8986546666666667,-
Colt,0004,287.598,-,0.8986854999999998,-
Columbus,0000,15.448,-,0.899751083333333,-
Columbus,0001,14.134,-,0.8998009166666667,-
Columbus,0002,14.765,-,0.899822,-
Columbus,0003,14.244,2039.514,0.89974,3.2637295
Columbus,0004,19.298,-,0.8997390833333333,-
Compuserve,0000,1.416,1.481,0.8999222222222217,0.8999444444444444
Compuserve,0001,3.829,2.699,0.8999111111111034,0.8999333333333334
Compuserve,0002,3.156,9.132,0.9000999999999999,0.9001222222222223
Compuserve,0003,1.499,1.015,0.899911111111111,0.8999111111111093
Compuserve,0004,0.807,1.337,0.8999111111111111,0.8999055555555555
CrlNetworkServices,0000,0.983,25.322,0.8991111111111111,0.8991777777777777
CrlNetworkServices,0001,0.73,22.895,0.8986444444444445,0.8986611111111111
CrlNetworkServices,0002,1.019,22.119,0.8986555555555555,0.8986777777777778
CrlNetworkServices,0003,1.039,22.155,0.8986111111111111,0.8986111111111111
CrlNetworkServices,0004,0.982,22.094,0.8986888888888889,0.8987555555555554
Cudi,0000,1.421,183.279,0.8998870833333332,0.8998870833333333
Cudi,0001,1.431,186.267,0.8999529166666667,0.8999529166666667
Cudi,0002,1.45,194.409,0.8998883333333333,0.8998883333333333
Cudi,0003,1.602,191.918,0.8998845833333333,0.8998845833333333
Cudi,0004,1.342,181.524,0.8998883333333332,0.8998883333333333
Cwix,0000,1.002,28.68,0.8988296296296296,0.8988222222222222
Cwix,0001,1.351,30.969,0.8989555555555555,0.8989111111111111
Cwix,0002,1.061,28.318,0.8988888888888888,0.8988666666666667
Cwix,0003,1.19,30.111,0.8988592592592592,0.8988666666666666
Cwix,0004,1.08,27.652,0.8989259259259259,0.8989259259259254
Cynet,0000,0.331,6.637,0.8994971804511278,0.8994971804511278
Cynet,0001,0.298,6.93,0.8994501879699248,0.8994501879699248
Cynet,0002,0.306,6.713,0.8994736842105263,0.8994736842105263
Cynet,0003,0.343,6.831,0.8995112781954887,0.8995112781954887
Cynet,0004,0.296,6.775,0.8994736842105263,0.8994736842105263
Darkstrand,0000,0.473,11.161,0.9000425,0.8999805
Darkstrand,0001,0.676,11.269,0.8999615,0.899997
Darkstrand,0002,0.666,10.994,0.8999755,0.8999545
Darkstrand,0003,0.522,11.535,0.89998425,0.89998875
Darkstrand,0004,0.693,11.086,0.89996875,0.89998025
Dataxchange,0000,0.051,0.062,1.0392666666666666,1.0392666666666666
Dataxchange,0001,0.046,0.058,1.0802222222222222,1.0802222222222222
Dataxchange,0002,0.061,0.059,1.2024,1.202399999999999
Dataxchange,0003,0.074,0.054,0.8999333333333334,0.8999333333333334
Dataxchange,0004,0.04,0.053,1.432511111111111,1.432511111111111
Deltacom,0000,140.999,-,0.8997080214285711,-
Deltacom,0001,146.708,-,0.899699333333333,-
Deltacom,0002,121.307,-,0.89961,-
Deltacom,0003,128.827,-,0.8996197499999999,-
Deltacom,0004,142.172,-,0.8997097499999999,-
DeutscheTelekom,0000,0.834,24.406,0.9000548333333334,0.900044
DeutscheTelekom,0001,0.717,22.189,0.899957,0.899957
DeutscheTelekom,0002,0.842,21.824,0.899957,0.899957
DeutscheTelekom,0003,0.83,23.97,0.899961,0.899961
DeutscheTelekom,0004,0.754,21.578,0.89996,0.89996
Dfn,0000,6.672,1530.257,0.9000388749999999,0.90000425
Dfn,0001,48.347,1861.728,0.9002615,6.2989745
Dfn,0002,16.963,1876.723,0.90666425,5.9270524978637695
Dfn,0003,14.508,1874.872,0.90001475,5.9620161056518555
Dfn,0004,14.489,1916.705,0.9093735,0.98876325
DialtelecomCz,0000,200.537,-,0.89927325,-
DialtelecomCz,0001,196.085,-,0.89927,-
DialtelecomCz,0002,203.419,-,0.8992904999999998,-
DialtelecomCz,0003,203.143,-,0.89927325,-
DialtelecomCz,0004,208.043,-,0.899216,-
Digex,0000,0.955,18.436,0.8988777777777778,0.8989444444444444
Digex,0001,0.797,18.769,0.8988,0.8988444444444444
Digex,0002,0.75,18.769,0.8988333333333334,0.8988444444444444
Digex,0003,0.714,18.871,0.8987777777777778,0.8987555555555555
Digex,0004,0.887,19.211,0.8988240740740739,0.8988777777777778
Easynet,0000,0.322,1.816,0.900014,0.900025
Easynet,0001,0.17,1.831,0.9000055,0.9000265
Easynet,0002,0.169,1.78,0.9000005,0.899978
Easynet,0003,0.224,2.004,0.90006,0.900031
Easynet,0004,0.197,2.019,0.900051,0.89999
Eenet,0000,0.059,0.332,0.9539915,0.9539915
Eenet,0001,0.058,0.291,0.9539885,0.9539885
Eenet,0002,0.06,0.349,0.953989,0.953989
Eenet,0003,0.057,0.28,0.95399,0.95399
Eenet,0004,0.059,0.328,0.953991,0.953991
