Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
Cudi,0001,31.631386878,31.778951771,0.8999529166666667,0.8999529166666667
Cudi,0002,32.302069705,33.001581428,0.8998883333333333,0.8998883333333333
Cudi,0003,32.11494414,32.165739506,0.8998845833333333,0.8998845833333333
Cudi,0004,31.445406535,31.433504191,0.8998883333333333,0.8998883333333333
Cwix,0000,7.578468315,7.535326927,0.8988074074074073,0.8988074074074073
Cwix,0001,9.454907657,9.380795425,0.8989111111111111,0.8989111111111111
Cwix,0002,7.418326031,6.998616178,0.8989111111111111,0.8989111111111111
Cwix,0003,7.602687613,8.064397639,0.8988074074074073,0.8988740740740739
Cwix,0004,7.910043196,7.700673314,0.8988888888888888,0.8988888888888888
Cynet,0000,2.386796546,2.586454188,0.8994971804511278,0.8994971804511278
Cynet,0001,2.831987892,2.788954421,0.8994501879699248,0.8994501879699248
Cynet,0002,2.241293175,2.534851746,0.8994736842105263,0.8994736842105263
Cynet,0003,2.336601944,2.584208374,0.8995112781954887,0.8995112781954887
Cynet,0004,2.562167567,2.759746884,0.8994736842105263,0.8994736842105263
Darkstrand,0000,2.815872158,2.590048631,0.900022,0.900022
Darkstrand,0001,2.651130446,2.640651001,0.899971,0.899971
Darkstrand,0002,2.641651461,2.607396499,0.900019,0.900019
Darkstrand,0003,2.675459641,2.582350974,0.900031,0.900031
Darkstrand,0004,2.603366091,2.752801615,0.89995275,0.89995275
Dataxchange,0000,0.159783828,0.170775387,1.0392666666666666,1.0392666666666666
Dataxchange,0001,0.197999072,0.193850155,1.0802222222222222,1.0802222222222222
Dataxchange,0002,0.170144628,0.168440328,1.2024,1.2024
Dataxchange,0003,0.167515376,0.170250897,0.98,0.98
Dataxchange,0004,0.165709372,0.197582926,1.432511111111111,1.432511111111111
Deltacom,0000,-,-,-,-
Deltacom,0001,-,-,-,-
Deltacom,0002,-,-,-,-
Deltacom,0003,-,-,-,-
Deltacom,0004,-,-,-,-
DeutscheTelekom,0000,6.917417075,6.700640022,0.9000811666666666,0.9000851666666667
DeutscheTelekom,0001,4.833539963,5.138407717,0.899957,0.899957
DeutscheTelekom,0002,4.67446237,4.588910496,0.899957,0.899957
DeutscheTelekom,0003,5.52774012,4.942218601,0.899961,0.899961
DeutscheTelekom,0004,4.757021679,4.613235237,0.89996,0.89996
Dfn,0000,120.797057579,121.850157744,0.89999025,0.900038
Dfn,0001,197.547543666,173.251923641,0.90091425,0.901022
Dfn,0002,216.974269028,185.625741654,0.908466,0.901888
Dfn,0003,234.710986196,240.619398181,0.90003825,0.90019675
Dfn,0004,229.888180217,213.305405174,0.907858,0.9003705
DialtelecomCz,0000,-,-,-,-
DialtelecomCz,0001,-,-,-,-
DialtelecomCz,0002,-,-,-,-
DialtelecomCz,0003,-,-,-,-
DialtelecomCz,0004,-,-,-,-
Digex,0000,4.158403268,4.665134584,0.8989111111111111,0.8989111111111111
Digex,0001,4.154321542,4.554323661,0.8988444444444444,0.8988444444444444
Digex,0002,4.208386174,4.022727832,0.8988777777777778,0.8989222222222222
Digex,0003,4.201180643,4.304068913,0.8987888888888889,0.8987888888888889
Digex,0004,4.43344708,4.325993377,0.8988796296296296,0.8988092592592593
Easynet,0000,1.146660423,1.078952856,0.900016,0.90005
Easynet,0001,0.965783417,1.011580022,0.899977,0.9000465
Easynet,0002,1.125291096,0.961057598,0.8999835,0.9000485
Easynet,0003,1.235786889,1.087103176,0.899991,0.900007
Easynet,0004,1.111830484,1.072757262,0.900005,0.900007
Eenet,0000,0.355688446,0.346869958,0.9539915,0.9539915
Eenet,0001,0.371945301,0.379127387,0.9539885,0.9539885
Eenet,0002,0.272382667,0.335261684,0.953989,0.953989
Eenet,0003,0.238281252,0.373190056,0.95399,0.95399
Eenet,0004,0.385542684,0.339708943,0.953991,0.953991
EliBackbone,0000,1.939065518,2.016004126,0.9000545833333333,0.9000350833333334
EliBackbone,0001,1.222878785,1.115546744,0.900004375,0.9000687083333333
EliBackbone,0002,1.477406765,1.402244535,0.9000290416666666,0.90008425
EliBackbone,0003,1.934415467,2.16646561,0.9000665,0.900061
EliBackbone,0004,1.631654794,1.842780118,0.90001975,0.900032
Epoch,0000,0.166117483,0.19837955,0.9950555555555556,0.9926666666666667
Epoch,0001,0.16585239,0.167387102,0.9052777777777777,0.9052777777777777
Epoch,0002,0.192498379,0.181385783,0.9195444444444445,0.9195444444444445
Epoch,0003,0.172579138,0.189796361,0.9123888888888889,0.9015555555555556
Epoch,0004,0.173815133,0.166161423,0.9473111111111111,0.9473111111111111
Ernet,0000,3.227123905,3.296312011,0.899951,0.899951
Ernet,0001,4.918505645,4.353605125,0.899946,0.899971
Ernet,0002,3.955623538,4.322690585,0.90001625,0.899949
Ernet,0003,3.703860649,3.257253063,0.9000025,0.899947
Ernet,0004,3.935674159,3.883534051,0.899949,0.940807
Esnet,0000,263.783586984,261.972958452,0.9714319,0.9666695
Esnet,0001,220.074492164,246.766685807,0.9577053,0.9589004
Esnet,0002,256.455001109,264.251804466,0.9186886,0.9186448
Esnet,0003,268.323595811,254.278017647,0.9550542,0.9603417592349908
Esnet,0004,243.136479392,242.15519117,0.9342413,0.9339388
Eunetworks,0000,0.432319329,0.58130388,0.89999,0.89999
Eunetworks,0001,0.540983736,0.483019469,0.900074,0.900074
Eunetworks,0002,0.507119927,0.552669279,0.9000353333333333,0.9000353333333333
Eunetworks,0003,0.409619599,0.419575961,0.900061,0.900061
Eunetworks,0004,0.421392715,0.440503407,0.9000533333333333,0.9000533333333333
Evolink,0000,7.750172437,7.991498218,0.9000125,0.9000125
Evolink,0001,9.215416938,9.286980775,0.89998,0.899955
Evolink,0002,8.97372738,9.61469018,0.90000225,0.89998725
Evolink,0003,8.504504317,8.212228057,0.89997125,0.89998275
Evolink,0004,8.694370177,8.589084099,0.89994525,0.8999435
Fatman,0000,0.60752296,0.626522325,0.899978,0.899978
Fatman,0001,0.572644354,0.616646588,0.899977,0.899977
Fatman,0002,0.629695124,0.571492954,0.899971,0.899971
Fatman,0003,0.593045398,0.67086973,0.899973,0.899973
Fatman,0004,0.588970298,0.692266068,0.899973,0.899973
Fccn,0000,1.479967769,1.467907885,0.900019,0.900019
Fccn,0001,1.448711352,1.288635412,0.899969,0.899969
Fccn,0002,1.418993615,1.209005972,0.900057,0.900057
Fccn,0003,1.616824869,1.753404163,0.900035,0.900035
Fccn,0004,1.374570833,1.349180969,0.900043,0.900043
