Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
AttMpls,0004,9.334,49.07,9.405999999999999,51.451,0.9000545,0.9000645
Azrena,0000,0.097,0.083,0.131,0.119,0.89996,0.89996
Azrena,0001,0.101,0.072,0.135,0.10799999999999998,0.899949,0.899949
Azrena,0002,0.064,0.075,0.098,0.11099999999999999,0.899956,0.899956
Azrena,0003,0.071,0.111,0.105,0.147,0.899946,0.899946
Azrena,0004,0.077,0.105,0.111,0.141,0.899962,0.899962
Bandcon,0000,0.316,1.798,0.363,1.927,0.8999983333333332,0.9000143333333332
Bandcon,0001,0.29,1.143,0.33699999999999997,1.272,0.90004525,0.8999828333333333
Bandcon,0002,0.21,1.037,0.257,1.166,0.8999835,0.90003
Bandcon,0003,0.237,1.352,0.284,1.481,0.8999954999999998,0.9000070833333332
Bandcon,0004,0.19,1.035,0.237,1.164,0.8999915,0.899994
Basnet,0000,0.053,0.032,0.072,0.049,0.8997419354838709,0.8997419354838709
Basnet,0001,0.04,0.031,0.059,0.048,0.8996129032258064,0.8996129032258064
Basnet,0002,0.032,0.052,0.051000000000000004,0.069,0.8996129032258064,0.8996129032258064
Basnet,0003,0.051,0.042,0.06999999999999999,0.059000000000000004,0.8996129032258064,0.8996129032258064
Basnet,0004,0.038,0.035,0.056999999999999995,0.052000000000000005,0.8997419354838709,0.8997419354838709
Bbnplanet,0000,0.189,0.277,0.235,0.334,0.8990666666666667,0.8990555555555556
Bbnplanet,0001,0.257,0.306,0.303,0.363,0.8992,0.8991555555555556
Bbnplanet,0002,0.254,0.237,0.3,0.294,0.899,0.898988888888889
Bbnplanet,0003,0.228,0.239,0.274,0.296,0.8989555555555555,0.8989333333333334
Bbnplanet,0004,0.153,0.315,0.199,0.372,0.8989888888888888,0.8989666666666667
Bellcanada,0000,2.109,35.035,2.298,37.486999999999995,0.899894,0.899876
Bellcanada,0001,2.071,36.377,2.2600000000000002,38.829,0.8998815,0.899953
Bellcanada,0002,2.088,33.611,2.277,36.062999999999995,0.8998775,0.8998775
Bellcanada,0003,2.041,36.671,2.23,39.123,0.8998745,0.8998745
Bellcanada,0004,2.15,51.853,2.339,54.305,0.899933,0.899904
Bellsouth,0000,1.203,16.452,1.421,18.966,0.899881,0.899881
Bellsouth,0001,1.145,16.818,1.363,19.332,0.899906,0.899906
Bellsouth,0002,1.175,16.116,1.393,18.63,0.899886,0.899886
Bellsouth,0003,1.181,16.18,1.399,18.694,0.899881,0.899881
Bellsouth,0004,1.198,16.292,1.416,18.806,0.8998925,0.8998925
Belnet2003,0000,0.349,2.693,0.40299999999999997,2.887,2.054439666666666,2.054439666666666
Belnet2003,0001,0.284,1.702,0.33799999999999997,1.896,2.71246,2.71246
Belnet2003,0002,0.395,1.781,0.449,1.9749999999999999,2.517917,2.5179169999999997
Belnet2003,0003,0.229,0.995,0.28300000000000003,1.189,0.89999,0.89999
Belnet2003,0004,0.618,1.735,0.672,1.929,2.41846,2.41846
Belnet2004,0000,0.463,2.12,0.519,2.317,2.644662,2.644662
Belnet2004,0001,0.694,7.282,0.75,7.479,1.1139668,1.1139222
Belnet2004,0002,0.762,11.958,0.8180000000000001,12.155,2.0691312,2.0691312
Belnet2004,0003,0.337,3.326,0.393,3.523,1.8017483333333333,1.8017483333333333
Belnet2004,0004,0.793,1.83,0.8490000000000001,2.027,1.9748036666666664,1.9748036666666664
Belnet2005,0000,3.223,8.03,3.343,8.318,1.0547085,1.05476912
Belnet2005,0001,0.389,6.888,0.509,7.176,0.900064,0.9000560999999999
Belnet2005,0002,1.371,4.368,1.491,4.656000000000001,0.9000755999999999,0.9000807
Belnet2005,0003,0.634,17.583,0.754,17.871,0.9214591666666666,0.92145975
Belnet2005,0004,0.874,6.306,0.994,6.594,1.3781444,1.3781444
Belnet2006,0000,12.905,32.526,13.023,32.806000000000004,1.0410552,1.0410276
Belnet2006,0001,1.469,3.235,1.5870000000000002,3.5149999999999997,3.5466366666666667,3.5466366666666667
Belnet2006,0002,2.229,4.166,2.347,4.446000000000001,1.1024901999999999,1.0638994
Belnet2006,0003,0.953,3.326,1.071,3.606,1.1730283333333333,1.1730283333333333
Belnet2006,0004,0.35,3.146,0.46799999999999997,3.426,0.9000826,0.9000791
Belnet2007,0000,0.204,0.838,0.251,0.952,0.8999801999999997,0.9000323666666664
Belnet2007,0001,0.278,0.885,0.325,0.999,0.8999943333333333,0.8999806666666665
Belnet2007,0002,0.265,1.139,0.312,1.2530000000000001,0.899986,0.899986
Belnet2007,0003,0.243,0.81,0.29,0.924,0.900036,0.900046
Belnet2007,0004,0.228,0.907,0.275,1.0210000000000001,0.899993,0.899991
Belnet2008,0000,0.27,1.144,0.32,1.2679999999999998,0.8999833333333332,0.9000096666666666
Belnet2008,0001,0.253,0.861,0.303,0.985,0.9000163333333334,0.9000593333333335
Belnet2008,0002,0.205,0.827,0.255,0.951,0.9000039999999999,0.90003
Belnet2008,0003,0.247,0.986,0.297,1.1099999999999999,0.9000341666666667,0.8999829999999999
Belnet2008,0004,0.259,0.922,0.309,1.046,0.900004,0.90004
Belnet2009,0000,0.276,1.254,0.32,1.38,0.899996,0.900048
Belnet2009,0001,0.334,1.129,0.378,1.255,0.8999780000000001,0.899991
Belnet2009,0002,0.326,1.264,0.37,1.3900000000000001,0.900022,0.900006
