Topology,2-SR_preprocTime,3-SR_preprocTime,4-SR_preprocTime,2-SR_paths,3-SR_paths,4-SR_paths,2-SR_percentage,3-SR_percentage,4-SR_percentage
Garr201102,0.221,0.59,2.61,22310,102992,338085,12.480979233798783%,1.0662810363648711%,0.06601782229889716%
Garr201103,0.222,0.619,2.723,22990,105582,344249,12.200040330711836%,1.0180579894439472%,0.06144836397669063%
Garr201104,0.238,0.688,3.701,25222,122022,419772,12.707833692738667%,1.0971721440453175%,0.06860277101119613%
Garr201105,0.241,0.645,3.219,24140,113528,379743,12.162679618694451%,1.0207975542867418%,0.062060885604815604%
Garr201107,0.233,0.661,3.216,24140,113528,379743,12.162679618694451%,1.0207975542867418%,0.062060885604815604%
Garr201108,0.237,0.674,3.347,24140,113528,379743,12.162679618694451%,1.0207975542867418%,0.062060885604815604%
Garr201109,0.249,0.715,3.986,24580,121724,433616,12.38436889094903%,1.0944926493728364%,0.0708652772333334%
Garr201110,0.24,0.636,3.097,23500,108576,357464,11.840222495415063%,0.9762711864406779%,0.05841985872508461%
Garr201111,0.247,0.606,2.214,22294,94260,286527,10.674135784736187%,0.7912962449945854%,0.04293867433513593%
Garr201112,0.276,0.616,2.292,23054,97568,296502,10.498178506375227%,0.7655922888359494%,0.04080442610399931%
Garr201201,0.26,0.64,2.824,23700,102760,316396,10.792349726775956%,0.8063326459575082%,0.04354222636474953%
Gblnet,0.02,0.016,0.02,56,56,56,14.285714285714285%,2.7027027027027026%,0.6369426751592357%
Geant2001,0.06,0.341,4.583,6372,44997,244378,34.9112426035503%,10.23934354605281%,2.4131208173908854%
Geant2009,0.099,1.732,125.603,16176,174948,1488200,43.68821908928861%,15.212208164862398%,4.308531627986289%
Geant2010,0.108,0.503,4.592,12776,78266,351896,26.64330997664331%,4.792680118944393%,0.6523760030279192%
Geant2012,0.1,0.572,5.348,15436,95600,419908,25.371466140696906%,4.240972407062372%,0.5170315492821783%
Getnet,0.024,0.024,0.022,130,202,216,51.587301587301596%,18.4981684981685%,5.980066445182724%
Globalcenter,0.022,0.063,0.258,576,3600,18720,100.0%,100.0%,100.0%
Globenet,0.557,35.993,3605.583,84198,1371215,-,28.84955388347519%,7.337655610430402%,-
Goodnet,0.078,0.219,5.937,2923,25609,189091,67.16452205882352%,41.65961738677772%,23.5178450608931%
Grena,0.031,0.03,0.031,240,240,240,6.666666666666667%,0.5076142131979695%,0.041999160016799666%
Gridnet,0.024,0.044,0.163,552,3024,12480,95.83333333333334%,84.0%,66.66666666666666%
Grnet,0.072,0.097,0.116,4100,6878,8154,8.550216883550217%,0.42117974418137544%,0.015116608113447307%
GtsCe,10.113,3600.143,-,733481,-,-,22.473937523592884%,-,-
GtsCzechRepublic,0.068,0.121,0.155,4006,7444,9066,13.026795005202912%,0.8328559664888475%,0.03617874550978111%
GtsHungary,0.063,0.099,0.095,2874,4320,4800,11.391200951248512%,0.6325499670546892%,0.026991054152489334%
GtsPoland,0.083,0.282,1.135,8576,40859,128901,25.37878787878788%,4.022061834561835%,0.43700895356254804%
