Topology,Nodes,Edges,2-SR preprocessing time,3-SR preprocessing time,4-SR preprocessing time,2-SR useful paths,3-SR useful paths,4-SR useful paths,2-SR percentage paths left,3-SR percentage paths left,4-SR percentage paths left,2-SR useful paths adjacency,3-SR useful paths adjacency
Highwinds,106,18,0.06,0.379,15.83,3576,34414,268305,68.74%,43.76%,24.24%,3576,34414
HostwayInternational,42,16,0.036,0.062,0.157,1528,6092,15760,42.44%,12.88%,2.76%,1528,6092
HurricaneElectric,74,24,0.061,0.33,6.9,5598,45127,285496,44.09%,16.86%,5.32%,5598,45127
Ibm,48,18,0.042,0.156,1.475,2744,18392,91541,52.75%,23.39%,8.27%,2744,18392
Iij,132,37,0.124,3.1,960.245,21701,280407,3014151,45.26%,17.17%,5.59%,22048,285628
Iinet,70,31,0.069,0.154,0.292,4870,16166,38602,17.46%,2.06%,0.18%,4870,16166
Ilan,30,14,0.028,0.038,0.039,572,1232,1532,24.18%,4.67%,0.57%,572,1232
Integra,72,27,0.074,0.547,10.133,7922,65506,377851,43.40%,14.91%,3.73%,7922,65506
Intellifiber,194,73,0.71,17.322,2969.899,87598,1010193,8936116,23.15%,3.81%,0.49%,87598,1010193
Internetmci,90,19,0.041,0.137,1.004,2808,17407,80705,45.61%,17.55%,5.40%,3417,21730
Internode,156,66,0.207,0.327,0.51,15164,39454,69086,5.44%,0.22%,0.01%,15760,41053
Interoute,316,110,3.384,1842.645,3632.594,415037,11627045,-,31.76%,8.31%,-,415037,11627045
Intranetwork,106,39,0.138,0.652,6.737,14186,83191,350441,25.19%,4.10%,0.49%,14186,83191
Ion,300,125,3.961,553.552,3613.467,371618,6797828,-,19.33%,2.90%,-,371618,6797828
IowaStatewideFiberMap,82,33,0.1,0.531,6.374,10448,71449,358009,30.92%,7.03%,1.21%,10448,71449
Iris,128,51,0.213,2.971,231.922,33076,326745,2465177,25.94%,5.33%,0.86%,33076,326745
Istar,46,23,0.039,0.038,0.063,854,854,854,7.67%,0.38%,0.02%,854,854
Itnet,20,11,0.021,0.023,0.021,110,110,110,10.00%,1.22%,0.17%,110,110
Janetbackbone,90,29,0.08,2.023,352.747,13444,176358,1715420,59.13%,29.75%,11.56%,13444,176358
