Topology,DemandFile,InvCap,TabuIGPWO,MIP,2-SR full,3-SR full,2-SRPP,2-SRPP-adj,3-SRPP,3-SRPP-adj,2-CG4SR,3-CG4SR
Renater2001,0004,1.1529935483870968,0.9058032258064516,0.8998774193548387,0.8999032258064517,0.8999096774193548,0.8998774193548387,0.8998774193548387,0.8999612903225807,0.8999612903225807,0.8999612903225807,0.8999612903225807
Renater2004,0000,2.4401568,0.9999126,0.9512172,0.9512056,0.9001224,0.951283,0.951283,0.9000824,0.9000824,0.95132,0.900204
Renater2004,0001,2.7341345,1.0142185,0.9267974,0.9271701999999999,0.9001556,0.9269028,0.9269028,0.9000758,0.9000758,0.9304596,0.900101
Renater2004,0002,3.0299213,1.0219268,0.9076514,0.9076848,0.9002792,0.9076826,0.9076826,0.9002984,0.9002984,0.9076696,0.9001054
Renater2004,0003,2.856817,1.0457788,0.9032332,0.9042082,0.9000712000000001,0.9038088,0.9038088,0.9001078,0.9001078,0.9039574,0.9003322
Renater2004,0004,2.6297352,0.9338224,0.9000509,0.9000653000000001,0.9000353,0.9000318,0.9000318,0.8999919,0.8999919,0.9028145,0.900074
Renater2006,0000,2.0801573,0.9000046,0.9000196,0.9000205,0.9000258,0.9000248000000001,0.9000248000000001,0.9000796,0.9000796,0.9000352,0.9000274
Renater2006,0001,1.8852697,0.9012382,0.9000158,0.9000354,0.9000148,0.9000352,0.9000352,0.8999922,0.8999922,0.9000604,0.9000118
Renater2006,0002,2.555125,1.0323408,0.900031,0.9000575999999999,0.9000598,0.9000258,0.9000258,0.9000228,0.9000228,0.9000674,0.9000676
Renater2006,0003,1.614265,0.9000108,0.9000448,0.900038,0.9000435999999999,0.8999984,0.8999984,0.9000155999999998,0.9000155999999998,0.9000348,0.9000344
Renater2006,0004,2.3220229,0.9245502666666668,0.9000732,0.9000716,0.9000492,0.9000182,0.9000182,0.9000852,0.9000852,0.900034,0.9000618
Renater2008,0000,2.160252,0.9596094,0.9000294,0.9000454,0.9000455999999999,0.9000774,0.9000774,0.9000728,0.9000728,0.900256,0.9000396
Renater2008,0001,2.5690206,0.9519308,0.9000668,0.9000742,0.900056,0.9000668,0.9000668,0.900044,0.900044,0.900043,0.9175213
Renater2008,0002,2.8838384,0.9527983333333334,0.9000193,0.9000433,0.9000702999999999,0.9000652,0.9000652,0.9000696,0.9000696,0.900042,0.9000315
Renater2008,0003,2.3463435,0.9490512,0.9000732,0.9000344,0.9000114,0.900016,0.900016,0.9000616,0.9000616,0.9000632,0.900068
Renater2008,0004,2.6730131,0.9387055,0.9000256,0.9000052,0.9000564,0.900072,0.900072,0.899996,0.899996,0.899988,0.9006758
Renater2010,0000,1.5956244623655915,0.9139096774193548,0.8997064516129032,0.8996940860215052,0.8996577956989246,0.8996908602150538,0.8996908602150538,0.899708870967742,0.899708870967742,0.899669623655914,0.8997118279569893
Renater2010,0001,1.6047408602150537,0.9535612903225806,0.8996940860215052,0.8996983870967739,0.8996997311827954,0.8996795698924729,0.8996795698924729,0.8996836021505376,0.8996836021505376,0.8997,0.8996903225806452
Renater2010,0002,1.7077287634408604,1.0123806451612902,0.8997241935483873,0.8996962365591399,0.899720698924731,0.8997352150537633,0.8997352150537633,0.8996919354838709,0.8996919354838709,0.8996790322580646,0.8997185483870968
Renater2010,0003,2.1403430107526877,0.9937032258064517,0.8997193548387097,0.899675,0.8996983870967743,0.8996959677419354,0.8996959677419354,0.8997297043010752,0.8997297043010752,0.8997032258064516,0.8996787634408603
Renater2010,0004,1.4881309139784948,0.913458064516129,0.8997032258064516,0.8996889784946235,0.8996822580645161,0.8996943548387096,0.8996943548387096,0.8997024193548387,0.8997024193548387,0.8997016129032258,0.8996725806451613
Restena,0000,0.9989564,0.91700125,0.9664385,0.9663823,0.9000384,0.9663694,0.9663694,0.8999996,0.8999996,0.9663665,0.9118495
Restena,0001,1.0118598,0.9332224,0.9543967,0.9543425,0.9000921,0.9543836,0.9543836,0.9001157000000001,0.9001157000000001,0.9543519,0.900064
Restena,0002,1.014663,0.9344669,0.9513,0.951228,0.9000537,0.9512425999999999,0.9512425999999999,0.9000538,0.9000538,0.9512085,0.925158
Restena,0003,1.0046734,0.9134227,0.9417118,0.9416971999999999,0.9000541,0.9416565,0.9416565,0.900088,0.900088,0.941696,0.9000682
Restena,0004,1.0038766,0.9199417,0.9402239,0.9401589,0.900064,0.9402083,0.9402083,0.90005,0.90005,0.9403142,0.9128191
Reuna,0000,0.8993707317073171,0.8993707317073171,0.8993707317073171,0.8993707317073171,0.8993707317073171,0.8993707317073171,0.8993707317073171,0.8993707317073171,0.8993707317073171,0.8993707317073171,0.8993707317073171
Reuna,0001,0.8993853658536586,0.8993853658536586,0.8993853658536586,0.8993853658536586,0.8993853658536586,0.8993853658536586,0.8993853658536586,0.8993853658536586,0.8993853658536586,0.8993853658536586,0.8993853658536586
Reuna,0002,0.899380487804878,0.899380487804878,0.899380487804878,0.899380487804878,0.899380487804878,0.899380487804878,0.899380487804878,0.899380487804878,0.899380487804878,0.899380487804878,0.899380487804878
Reuna,0003,0.8994750830564784,0.8994750830564784,0.8994750830564784,0.8994750830564784,0.8994750830564784,0.8994750830564784,0.8994750830564784,0.8994750830564784,0.8994750830564784,0.8994750830564784,0.8994750830564784
Reuna,0004,0.8993756097560975,0.8993756097560975,0.8993756097560975,0.8993756097560975,0.8993756097560975,0.8993756097560975,0.8993756097560975,0.8993756097560975,0.8993756097560975,0.8993756097560975,0.8993756097560975
Rhnet,0000,0.899974,0.899974,0.899974,0.899974,0.899974,0.899974,0.899974,0.899974,0.899974,0.899974,0.899974
Rhnet,0001,0.899981,0.899981,0.899981,0.899981,0.899981,0.899981,0.899981,0.899981,0.899981,0.899981,0.899981
Rhnet,0002,0.899979,0.899979,0.899979,0.899979,0.899979,0.899979,0.899979,0.899979,0.899979,0.899979,0.899979
Rhnet,0003,0.899976,0.899976,0.899976,0.899976,0.899976,0.899976,0.899976,0.899976,0.899976,0.899976,0.899976
Rhnet,0004,0.899982,0.899982,0.899982,0.899982,0.899982,0.899982,0.899982,0.899982,0.899982,0.899982,0.899982
Rnp,0000,0.8999904,0.8999904,0.8999904,0.8999904,0.8999904,0.8999903999999999,0.8999903999999999,0.8999904,0.8999904,0.8999904,0.8999904
