Topology,DemandFile,TotalTime,pre-opt-uMax,post-opt-uMax
Garr201004,0001,1803.935592142,1.4371175666666667,1.0308548
Garr201004,0002,1805.559828245,1.6119322,1.063327
Garr201004,0003,1802.006573659,0.9687167371079154,0.8999230769230769
Garr201004,0004,1801.12509938,1.4510613333333333,1.08868585
Garr201005,0000,1805.882972299,1.2156592,1.0076911
Garr201005,0001,1801.86560878,1.1102615962441316,1.0173171
Garr201005,0002,1801.321447091,1.5387842253521127,1.1957752
Garr201005,0003,1804.114213781,1.15374035,0.9476208666666668
Garr201005,0004,1802.09556227,1.38090555,1.0043632
Garr201007,0000,1803.70337607,1.3599599204854347,0.9252208
Garr201007,0001,1803.680652008,1.2513086333333334,1.1158708
Garr201007,0002,1802.672379106,1.166788,1.0006294
Garr201007,0003,1807.901087482,1.476117,1.0042252
Garr201007,0004,1805.358396101,1.604812,1.0736394
Garr201008,0000,1804.369274505,1.232912,1.04567
Garr201008,0001,1800.300110191,1.2268232,0.9919758
Garr201008,0002,1800.64247361,1.567879,1.2231630666666666
Garr201008,0003,1803.950452136,1.41157605,1.0474872
Garr201008,0004,1802.623607225,1.2735308,1.1978984
Garr201010,0000,1800.111629543,1.3323118666666667,0.9644435
Garr201010,0001,1800.013295105,1.2945896,0.9009828
Garr201010,0002,1804.383917541,1.2278584666666665,0.9869059
Garr201010,0003,1807.870666276,1.323428,1.0194672
Garr201010,0004,1803.17318863,1.2403428,0.9895002
Garr201012,0000,1803.227618939,1.0270896,0.9991348
Garr201012,0001,1801.098577927,1.1092852,1.0027292
Garr201012,0002,1801.495101533,1.0395304333333333,0.918398
Garr201012,0003,1805.131377165,1.4536172,1.174113
Garr201012,0004,1804.992365294,0.9768884,0.9768884
Garr201101,0000,1800.04388157,1.4853348,1.0549908
Garr201101,0001,1800.781278251,1.354374,0.9195688
Garr201101,0002,1802.42225524,1.431048812899085,1.1702611
Garr201101,0003,1809.697236492,1.3771056,1.0298973
Garr201101,0004,1801.097650012,1.319,1.0432772666666665
Garr201102,0000,1800.665612219,0.89994,0.89994
Garr201102,0001,1803.562525631,0.9609964,0.89995
Garr201102,0002,1810.602902048,1.1521176,0.899945
Garr201102,0003,1806.447230476,1.0782044,0.89995
Garr201102,0004,1802.968694862,0.9902024,0.899944
Garr201103,0000,1807.28947111,0.899941,0.899941
Garr201103,0001,1801.870198384,0.899944,0.8999439999999999
Garr201103,0002,1805.856990673,1.3230408,0.899949
Garr201103,0003,1801.113456244,0.9707176,0.8999439999999999
Garr201103,0004,1800.3074405,1.20647,0.9979837
Garr201104,0000,1805.9721241,0.899941,0.8999409999999999
Garr201104,0001,1809.671922904,1.1691708,0.899944
Garr201104,0002,1801.46149163,0.8999715,0.8999715
Garr201104,0003,1803.639865773,0.899941,0.899941
Garr201104,0004,1800.556554762,1.0371744,0.93558515
Garr201105,0000,1806.295717431,1.2947772,0.914103
Garr201105,0001,1804.376844657,0.9790596,0.899947
Garr201105,0002,1808.736421054,0.899943,0.899943
Garr201105,0003,1804.835590832,1.4035784,0.9362814267437755
Garr201105,0004,1810.968571789,1.0751484,0.9007564
Garr201107,0000,1805.043901042,1.1242492,1.0182388
Garr201107,0001,1800.919084645,1.1106188,0.899946
Garr201107,0002,1806.895604029,1.46392,1.029174
Garr201107,0003,1806.350051923,1.3550208,0.899947
Garr201107,0004,1804.610816871,1.3470136,0.940612
Garr201108,0000,1800.167259242,1.6996964,0.899946
Garr201108,0001,1811.354401328,1.6592596,0.9005004
Garr201108,0002,1803.308595332,1.6683392,0.9868574
Garr201108,0003,1810.431603684,1.6538584,0.99177
Garr201108,0004,1803.423834103,1.739636,0.918587
Garr201109,0000,1809.5737727,1.6535364,0.9048944
Garr201109,0001,1802.74837456,1.6480192,0.9531566
Garr201109,0002,1808.724562556,1.568964,0.9025456
Garr201109,0003,1800.893545566,1.637068,1.0943213
Garr201109,0004,1804.314779343,1.7105288,1.0711355
Garr201110,0000,1800.559681873,1.7131356,0.9786818
Garr201110,0001,1803.6679423,1.6387374,0.9676102
Garr201110,0002,1803.750117544,1.652236,0.9398246
Garr201110,0003,1801.749898118,1.73936,0.9000035
Garr201110,0004,1806.263330805,1.4783022,0.9326482
Garr201111,0000,1810.334656012,1.7034908,0.9565066
Garr201111,0001,1805.253728786,1.7529704,1.0205796
Garr201111,0002,1801.493681336,1.6175432,0.9038832
Garr201111,0003,1801.402349193,1.6526388,1.014686
Garr201111,0004,1807.36817589,1.6962456,0.9102362
Garr201112,0000,1809.990676779,1.6166066,0.9830832
Garr201112,0001,1803.834999248,1.555221,1.0142996
Garr201112,0002,1808.281246539,1.471955,1.0603814
Garr201112,0003,1814.135470401,1.276268,0.899938
Garr201112,0004,1800.564441762,1.6565868,0.9000228
Garr201201,0000,1804.356889032,1.0054736,0.9015156
Garr201201,0001,1805.78486299,1.2511469166666667,0.97477685
Garr201201,0002,1802.963304322,1.0280304,0.899939
Garr201201,0003,1812.123912124,1.1231504,1.0254044
Garr201201,0004,1800.181572018,1.2479412,0.9846676
Gblnet,0000,1800.009416521,0.899993,0.899993
Gblnet,0001,1800.010544937,0.899993,0.899993
Gblnet,0002,1800.003387207,0.899993,0.899993
Gblnet,0003,1800.006578494,0.899993,0.899993
Gblnet,0004,1800.007380325,0.899992,0.899992
Geant2001,0000,1800.730661781,1.2385902,0.986888
Geant2001,0001,1800.127672312,1.1440361736334406,0.8999847266881029
Geant2001,0002,1800.277310274,1.30042545,0.9002411575562701
Geant2001,0003,1800.977254456,1.0712394,0.9260424
Geant2001,0004,1800.183295592,1.2215290875,0.9003432475884244
Geant2009,0000,1800.91800081,1.80149405,0.9500085
Geant2009,0001,1802.266780634,2.2504138833333336,1.12495
Geant2009,0002,1800.387805356,2.216407425,0.9619636
Geant2009,0003,1800.793800656,2.0944492,1.09156005
Geant2009,0004,1800.254628223,2.0432102,0.9878834
Geant2010,0000,1800.062991139,2.2397092,0.9632098833333332
Geant2010,0001,1801.571927543,2.57291655,0.97505935
Geant2010,0002,1800.070315156,2.451569465648855,1.0713261
Geant2010,0003,1800.06400389,2.41998565,1.01330215
Geant2010,0004,1802.605494632,2.1475194,0.9452533740458016
Geant2012,0000,1800.623381874,2.10166315,0.929499
Geant2012,0001,1802.030638333,1.9219331555286656,0.9502553907214317
Geant2012,0002,1800.162689506,2.498362418452318,1.00455835
Geant2012,0003,1800.055401529,2.7747830023053957,1.0098993
Geant2012,0004,1800.007360652,1.95512355,0.935709725
Getnet,0000,1800.005006391,1.057688888888889,1.003288888888889
Getnet,0001,1800.015267459,1.3724666666666667,0.9610222222222222
Getnet,0002,1800.012259967,1.1450444444444445,0.9696888888888889
Getnet,0003,1800.010012276,1.0886111111111112,0.9743777777777778
Getnet,0004,1800.00747457,1.2756444444444444,0.9623555555555555
Globalcenter,0000,1800.049881483,1.3514,1.1339555555555556
Globalcenter,0001,1800.042785047,1.6360666666666666,1.3850666666666667
Globalcenter,0002,1800.022372448,1.1823777777777777,1.1823777777777777
Globalcenter,0003,1800.067291484,1.3111111111111111,1.245088888888889
Globalcenter,0004,1800.038091691,1.5756666666666668,1.324
Globenet,0000,1802.260576563,1.42827,1.202852
Globenet,0001,1810.350484328,1.477349,1.033929
Globenet,0002,1802.617437604,1.497911,1.156877
Globenet,0003,1805.264600473,1.361048,1.060017
Globenet,0004,1802.331913424,1.415469,1.1674645
Goodnet,0000,1800.205673456,1.8758611111111112,1.013848148148148
Goodnet,0001,1800.050003797,1.4355407407407408,0.9961777777777778
Goodnet,0002,1800.082578955,1.8184185185185184,1.087688888888889
Goodnet,0003,1800.224928584,1.5124518518518517,0.9267222222222222
Goodnet,0004,1800.007372717,1.5700907407407407,1.0578777777777777
Grena,0000,1800.211610333,0.899971,0.899971
Grena,0001,1800.058368599,0.899962,0.899962
Grena,0002,1800.007932594,0.899965,0.899965
Grena,0003,1800.023415597,0.899964,0.899964
Grena,0004,1800.018210384,0.899968,0.899968
Gridnet,0000,1800.004521055,1.4032777777777778,0.9037481481481481
Gridnet,0001,1800.049870024,1.0364777777777778,0.9130777777777778
Gridnet,0002,1800.009323182,1.1017222222222223,0.9075037037037037
Gridnet,0003,1800.011459427,1.2236555555555555,0.9032074074074073
Gridnet,0004,1800.03009488,1.5061666666666667,0.9073666666666667
Grnet,0000,1800.284740733,1.164342,0.899951
Grnet,0001,1801.833546616,0.91689,0.902187
Grnet,0002,1802.353529358,1.4110256,0.899947
Grnet,0003,1800.757133202,0.899951,0.8999509999999998
Grnet,0004,1801.720977691,0.89995,0.89995
GtsCe,0000,1811.723471516,2.34334125,1.2690245
GtsCe,0001,1810.206875108,2.30135275,1.491494
GtsCe,0002,1805.538646513,2.3004066666666665,1.243806
GtsCe,0003,1816.687094623,2.276162270833334,1.3117125
GtsCe,0004,1808.089814916,2.293318583333333,1.3781815
GtsCzechRepublic,0000,1800.560164743,1.0437825,0.899939
GtsCzechRepublic,0001,1800.793727098,1.309354,0.899945
GtsCzechRepublic,0002,1800.86104273,1.4538125,0.899943
GtsCzechRepublic,0003,1800.107487803,1.3211415,0.899942
GtsCzechRepublic,0004,1800.33543298,1.467318,0.8999575
GtsHungary,0000,1800.691250264,1.2795465,0.93189
GtsHungary,0001,1800.263810535,1.0491225,0.908289
GtsHungary,0002,1800.18896551,1.2441695,0.922934
GtsHungary,0003,1800.153438849,1.0528195,0.904305
GtsHungary,0004,1800.733042802,1.417713,1.015774
GtsPoland,0000,1800.908155524,1.282924,0.900085
GtsPoland,0001,1800.233777499,1.327354,0.950391
GtsPoland,0002,1800.177875532,1.28676,0.931557
GtsPoland,0003,1800.238313839,1.120624,0.8999795
GtsPoland,0004,1801.239944904,1.344564,0.905297
GtsRomania,0000,1800.209200089,1.3192185,0.899989
GtsRomania,0001,1800.047462675,1.481737,0.900393
GtsRomania,0002,1800.027855368,1.033897,0.899987
GtsRomania,0003,1800.012634651,1.5041605,0.899981
GtsRomania,0004,1800.227490226,1.4860335,0.89998
GtsSlovakia,0000,1800.622081934,1.6009848333333334,1.021509
GtsSlovakia,0001,1801.727748647,1.6317453333333332,1.026846
GtsSlovakia,0002,1800.047311008,1.3163103333333332,0.9007965
GtsSlovakia,0003,1800.252287249,1.5327306666666667,0.905854
GtsSlovakia,0004,1800.267734125,1.5389845,0.964542
Harnet,0000,1800.081660726,1.3863256102973813,1.0681374167776299
Harnet,0001,1800.190323105,1.23868655126498,0.8999785
Harnet,0002,1800.304892644,1.7888978251220593,1.054721704394141
Harnet,0003,1800.015376854,0.9064142032845096,0.9002311584553928
Harnet,0004,1800.171436507,0.9635739014647137,0.900459121171771
Heanet,0000,1800.003909763,1.525681,1.083629
Heanet,0001,1800.020222757,1.2456468333333333,1.1389363333333336
Heanet,0002,1800.022350506,1.4278496666666665,1.103875
Heanet,0003,1800.025520001,1.259999,1.00883
Heanet,0004,1800.018294525,0.9394635,0.912979
HiberniaCanada,0000,1800.121341236,0.9848585,0.90006
HiberniaCanada,0001,1800.027132765,0.974045,0.9036415
HiberniaCanada,0002,1800.036344319,1.04008,0.900239
HiberniaCanada,0003,1800.005144888,1.158054,0.90009
HiberniaCanada,0004,1800.037761179,1.248499,0.900202
HiberniaGlobal,0000,1801.274228142,1.667433,0.899818
HiberniaGlobal,0001,1801.117635001,1.6847075,0.8998285
HiberniaGlobal,0002,1800.092067267,1.6712835,0.899819
HiberniaGlobal,0003,1802.131044798,1.73043525,0.8998285
HiberniaGlobal,0004,1800.999198438,1.677241375,0.899816
HiberniaIreland,0000,1800.014673647,1.109221,0.922527
HiberniaIreland,0001,1800.008528695,0.934059,0.91034
HiberniaIreland,0002,1800.013737218,0.92977,0.913221
HiberniaIreland,0003,1800.004751867,1.084278,0.927488
HiberniaIreland,0004,1800.00522273,1.033772,0.903675
HiberniaNireland,0000,1800.135433103,1.0833698333333335,0.899981
HiberniaNireland,0001,1800.031637507,1.1519693333333334,0.9030045
HiberniaNireland,0002,1800.184673449,1.2221675,0.899985
HiberniaNireland,0003,1800.089603666,1.3035783333333333,0.899985
HiberniaNireland,0004,1800.14116486,1.0589783333333336,0.899984
HiberniaUk,0000,1800.012333254,1.18647,0.90002
HiberniaUk,0001,1800.029948545,1.059136,0.8999895
HiberniaUk,0002,1800.003599446,1.140335,0.9004045
HiberniaUk,0003,1800.037646052,0.904381,0.90007
HiberniaUk,0004,1800.046758286,0.903784,0.90007
HiberniaUs,0000,1800.09956784,1.229120625,0.899958
HiberniaUs,0001,1800.29531994,1.3003363472222222,0.899958
HiberniaUs,0002,1800.122091245,1.312005875,0.900624
HiberniaUs,0003,1800.141986818,0.899965,0.899965
HiberniaUs,0004,1800.232249346,0.899955,0.899955
Highwinds,0000,1800.656564373,1.369458520833333,0.9000511666666667
Highwinds,0001,1800.445354727,1.3007418833333335,1.002877
Highwinds,0002,1800.51544031,1.1709404333333333,0.9298165
Highwinds,0003,1800.244559556,1.435085727777778,0.9005796388888889
Highwinds,0004,1800.292648645,1.1925104666666668,0.9000298000000002
HostwayInternational,0000,1800.113751012,1.255871,0.9000395
HostwayInternational,0001,1800.017884877,0.899976,0.899976
HostwayInternational,0002,1800.011919756,0.899974,0.899974
HostwayInternational,0003,1800.060441797,1.2144663333333334,0.9000348333333333
HostwayInternational,0004,1800.011923717,0.956655,0.8999759999999999
HurricaneElectric,0000,1800.634562265,1.3286320000000003,0.94416
HurricaneElectric,0001,1800.120103779,1.685797,0.90178
HurricaneElectric,0002,1800.274887929,1.399607111111111,0.9004195
HurricaneElectric,0003,1800.718360625,1.7691926666666666,1.0823725
HurricaneElectric,0004,1800.008763214,1.376653861111111,0.92056
Ibm,0000,1800.006790964,1.1738222222222223,0.9037333333333334
Ibm,0001,1800.144863744,1.6093555555555557,0.9024333333333333
Ibm,0002,1800.00403601,1.0862444444444443,0.9006777777777778
Ibm,0003,1800.195028617,1.2171574074074074,0.9028444444444444
Ibm,0004,1800.016287403,1.215850925925926,0.9088444444444445
Iij,0000,1801.234214486,1.2267730419854896,0.9000240624196245
Iij,0001,1801.791524447,1.5090386619620197,0.9016724135159465
Iij,0002,1801.065890821,1.201259467565801,0.900036721563143
Iij,0003,1800.277879477,1.3415402259355709,0.9000198929398148
Iij,0004,1800.481818115,1.083474769121335,0.8999966845100309
Iinet,0000,1800.051965203,1.811158,1.079384
Iinet,0001,1800.406806309,1.47487075,0.996837
Iinet,0002,1800.086704615,1.3403495,1.052612
Iinet,0003,1800.355982158,1.40639675,0.998979
Iinet,0004,1801.040350197,1.37533575,0.984691
Ilan,0000,1800.099351385,0.9161258333333333,0.9062773333333333
Ilan,0001,1800.054231196,1.1145498333333335,1.0890383333333336
Ilan,0002,1800.01442991,1.0772775,1.069284
Ilan,0003,1800.044164486,0.9988771666666667,0.9218321666666667
Ilan,0004,1800.054099316,1.0072555,0.996325
Integra,0000,1800.258129607,1.37438875,0.899975
Integra,0001,1800.820220189,1.4051414166666665,0.899978
Integra,0002,1800.170103254,1.06792975,0.899974
Integra,0003,1800.578242477,1.1854025,0.8999735
Integra,0004,1800.109199672,1.0883085833333332,0.899968
Intellifiber,0000,1801.404684205,1.2242573333333335,0.899796
Intellifiber,0001,1812.012839672,1.4220760000000003,0.900321
